;DataSet;Metric;Criteria;Value
278;whole;AUC;NoCal;0.5077891701181163
279;whole;Brier;VA;0.2089352557088318
280;whole;Acc;VA;0.71
281;whole;Log;VA;0.6101751540867096
282;whole;Diff;VA;-0.0031482526050372606
283;whole;ECE;VA;0.04032544807276945
284;whole;treeSize;VA;0.0
285;whole;AUC;VA;0.49829399953439646
286;whole;Low;VA;0.6951481699943542
287;whole;High;VA;0.7293201684951782
288;yeast;Brier;NoCal;0.21459589617404357
289;yeast;Acc;NoCal;0.6162398921832885
290;yeast;Log;NoCal;0.6158098574557307
291;yeast;Diff;NoCal;-0.014793127278152185
292;yeast;ECE;NoCal;0.02237938098569283
293;yeast;treeSize;NoCal;0.0
294;yeast;AUC;NoCal;0.6792152382525031
295;yeast;Brier;VA;0.2209064526084951
296;yeast;Acc;VA;0.5985849056603774
297;yeast;Log;VA;0.631690286460901
298;yeast;Diff;VA;0.002231061894376274
299;yeast;ECE;VA;0.015296703213549694
300;yeast;treeSize;VA;0.0
301;yeast;AUC;VA;0.6656051358046865
302;yeast;Low;VA;0.5704705715179443
303;yeast;High;VA;0.651278018951416
