X1;X2;X3;X4;X5;X6;X7;X8;Y
17;1;0;31;29;75;9;393;0
2;2;0;2;25;0;2;49;0
3;1;0;8;15;16;3;97;1
2;2;0;2;25;0;2;39;0
12;2;0;37;28;79;3;720;1
14;1;0;10;26;74;11;309;0
10;1;0;3;22;19;7;117;0
8;1;0;26;20;50;4;298;1
6;1;1;1;18;0;6;14;1
21;1;0;8;33;75;19;271;0
2;2;0;2;25;0;2;11;0
11;1;3;13;23;72;10;80;0
6;0;1;1;6;0;1;12;1
13;1;5;5;25;53;13;73;1
15;1;0;15;27;89;15;214;1
15;5;23;11;649;75;13;138;0
4;0;1;2;4;0;0;7;0
2;2;1;3;23;50;1;15;0
5;1;0;8;17;40;4;64;0
3;1;0;13;15;0;1;61;0
9;6;0;25;636;81;7;228;1
3;5;0;28;637;53;1;541;1
12;2;0;13;37;80;8;207;0
10;1;0;15;22;66;1;348;1
5;1;0;20;17;56;0;312;1
3;5;0;25;637;50;2;505;1
12;2;0;8;37;80;8;105;1
3;6;0;17;653;71;3;120;1
6;2;0;21;22;69;2;188;1
4;2;0;9;23;0;3;39;0
40;1;0;45;52;84;29;812;1
2;1;2;2;14;50;2;16;1
9;1;0;10;21;66;4;126;1
9;2;0;10;28;44;8;85;1
5;0;2;2;5;0;0;8;0
5;1;0;3;17;0;5;26;0
7;1;2;7;19;28;6;78;1
13;5;0;30;647;80;10;405;1
18;7;0;51;673;81;8;701;1
6;2;0;4;20;64;3;142;1
8;5;0;31;642;70;5;287;1
5;2;0;14;49;74;4;193;1
4;2;0;11;48;0;4;46;0
20;1;0;29;32;87;19;234;0
18;2;0;25;62;88;18;310;1
32;1;4;25;44;95;30;453;1
9;2;0;11;53;58;9;131;0
24;1;0;39;36;87;17;459;1
11;2;0;9;36;77;7;114;0
152;1;0;82;164;97;126;2620;1
7;1;13;3;19;42;7;45;0
9;1;5;12;21;77;9;101;1
17;1;0;31;29;80;15;451;1
6;1;0;34;18;70;2;284;0
4;1;0;8;16;12;3;63;0
5;1;0;31;17;30;3;123;0
7;2;0;13;32;71;7;97;1
20;5;0;36;654;77;15;443;1
14;5;0;34;840;78;12;372;1
45;5;0;63;679;94;34;1211;1
6;7;0;34;661;66;5;409;1
6;7;0;21;790;33;3;219;1
12;2;0;13;40;54;10;172;1
16;5;0;31;650;74;15;397;1
4;5;0;22;698;50;2;201;1
7;2;0;12;23;50;2;245;0
7;6;0;21;685;77;5;195;0
2;1;1;2;2;0;0;5;0
12;2;0;13;37;79;8;104;0
4;2;0;9;74;41;4;90;1
1;2;0;4;25;0;1;10;0
20;1;0;26;32;77;19;217;0
10;1;0;34;22;66;6;341;1
4;1;0;6;16;50;3;43;0
60;6;0;72;687;95;46;1061;1
23;1;0;25;35;89;20;576;1
6;5;0;30;640;63;0;306;1
2;5;0;20;636;37;1;216;0
9;6;0;39;636;80;8;277;1
10;1;0;23;22;63;7;272;0
8;1;0;22;20;12;7;168;1
6;1;0;13;18;16;0;119;0
16;1;2;6;28;78;9;490;1
239;4;0;75;862;96;214;4600;1
37;4;0;30;660;92;36;602;1
31;1;0;31;43;83;14;1389;1
2;0;1;2;2;0;0;149;0
2;1;1;1;2;0;0;5;0
2;1;0;4;14;0;0;23;0
26;1;0;19;38;75;0;504;1
51;4;0;35;674;95;48;634;1
4;1;7;2;16;0;4;28;0
0;1;0;1;12;0;0;25;1
4;2;0;3;23;81;4;26;1
4;2;0;3;23;70;4;31;0
5;2;0;4;24;90;5;40;0
1;2;0;1;20;0;1;7;0
3;2;0;2;22;0;3;19;0
3;2;0;1;22;0;3;17;0
5;2;0;3;24;80;5;34;0
2;2;0;1;21;0;2;11;0
3;6;0;5;652;33;3;102;0
6;8;0;5;678;83;4;55;0
7;6;0;28;656;71;1;277;1
3;6;0;5;652;33;2;80;1
3;6;0;8;652;33;3;73;1
3;6;0;10;652;33;3;149;1
3;6;0;7;652;33;1;62;0
3;6;0;12;652;42;1;115;0
3;6;0;12;652;33;3;125;0
4;6;0;6;653;28;1;165;0
3;6;0;11;652;33;1;176;1
6;6;0;36;655;66;1;238;0
4;6;0;26;653;52;1;281;0
5;6;0;12;654;80;1;56;1
3;6;0;18;652;48;1;178;0
5;6;0;22;654;60;1;135;0
4;6;0;18;653;40;1;148;0
4;6;0;21;653;50;1;179;0
6;8;0;10;678;66;4;86;0
5;6;0;11;654;70;3;63;1
6;6;0;16;655;40;1;332;0
1;0;16;1;1;0;0;4;1
15;1;0;9;27;66;2;123;0
124;1;0;125;136;95;91;2467;1
51;1;0;40;63;98;49;955;1
29;1;1;52;41;84;17;1045;1
2;1;0;13;14;0;1;49;1
4;1;0;22;16;50;4;251;1
14;2;0;18;45;64;13;288;1
9;5;0;30;594;81;3;436;0
9;6;0;14;636;83;9;105;1
2;1;0;4;14;33;2;204;1
17;7;2;38;672;83;10;513;0
12;6;0;27;662;86;7;353;1
5;7;0;28;660;56;4;117;0
3;7;0;27;658;40;3;238;1
11;2;0;17;30;76;11;200;1
4;4;0;13;627;33;3;52;0
3;6;0;5;745;0;3;127;0
5;7;0;21;660;75;4;167;0
1;0;4;0;1;0;0;4;0
12;5;0;33;646;80;12;572;1
9;2;0;4;46;70;9;68;0
6;7;0;26;661;66;3;302;0
6;6;0;19;656;66;4;108;0
1;6;0;16;651;0;1;86;0
7;7;1;22;662;0;6;75;0
6;5;0;29;640;64;3;425;1
7;1;0;18;19;60;7;322;1
4;5;0;12;638;50;3;129;0
8;6;1;13;750;75;8;101;1
33;5;0;48;667;85;28;1311;1
6;5;0;24;640;66;5;184;0
10;5;0;13;836;80;9;143;1
23;6;2;22;784;82;15;373;1
5;0;2;1;5;0;0;8;0
2;5;0;5;704;25;2;50;0
5;1;0;6;17;50;3;65;0
6;7;0;28;661;60;3;164;1
19;1;1;17;31;77;17;204;1
2;8;0;3;664;0;2;11;0
4;7;0;27;659;70;3;96;0
3;7;0;22;658;66;3;114;1
14;1;0;31;26;76;10;850;1
4;4;0;18;627;44;4;72;0
5;6;18;5;655;80;4;105;0
2;7;0;6;752;50;2;55;0
3;7;0;13;658;66;3;158;0
8;5;0;12;642;50;8;165;0
7;6;0;7;749;42;5;89;0
8;2;0;25;78;70;4;206;1
4;2;0;1;34;0;3;30;0
10;1;0;13;22;78;6;310;1
6;1;0;1;18;11;6;39;0
13;2;0;9;83;75;11;143;1
8;1;0;5;20;66;5;106;0
4;1;5;3;16;0;4;27;0
2;1;3;1;2;0;0;5;0
17;1;0;16;29;82;9;290;1
8;1;0;1;20;50;8;43;0
13;1;12;3;25;0;13;56;0
117;1;0;16;129;96;27;2373;0
13;0;1;2;13;0;13;28;0
5;3;0;1;42;60;5;30;0
3;1;0;11;15;75;1;62;0
