REGRESSION,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7
0.001,-1.2,-30,0.0063,0.014,0.1,0
0.001,-2.5,-40,0.0019,0.027,-0.1,0
-0.001,-4,-50,-0.0052,0.023,0,-0.01
-0.001,-3.4,-60,-0.0071,0.009,0,0.01
0.001,6.2,-50,0.0002,-0.014,0.2,0
0.001,8.8,-30,0.0036,-0.01,0.1,0
0.001,6.4,10,-0.0001,0.004,-0.1,0
0.001,1.8,20,0.0007,-0.017,0.1,0
-0.001,-5.2,10,-0.0033,0.001,0,0
0.001,1.4,-10,0.0039,0.01,0.1,0
-0.001,-1.7,-10,-0.0029,0.015,-0.1,0
0.001,6,10,0.0057,-0.001,0.1,0
0.001,5.4,20,0.0047,0.01,-0.1,0
-0.002,-0.3,30,-0.0078,0.002,-0.1,0
0.001,5.3,50,0.0072,-0.011,0.1,0
-0.002,-8.3,50,-0.0046,0.015,-0.2,0
-0.001,-5,-20,0.0021,-0.009,0.1,0
-0.001,-2.9,-30,0.0016,-0.001,0,0
0.001,6.6,-20,-0.0015,-0.003,0.1,0
0.001,8,10,-0.0021,-0.009,0,0
0.001,3.2,60,0.001,0.002,-0.1,0
-0.002,-6.3,50,-0.0028,-0.005,-0.2,0
-0.001,-6.1,30,-0.0001,-0.014,0.1,0
0.001,-1.5,10,0.0048,-0.007,0.2,0
0.001,5.9,40,0.0079,-0.004,0,0
-0.001,-4.8,50,-0.0037,0.013,-0.2,0
0.001,-1.2,20,0.0055,0.013,0.1,0
0.001,6.2,60,0.0042,-0.013,0.1,0
0.001,5.8,80,0.0094,0.008,0,0
-0.002,-7.6,70,-0.0038,0.025,-0.2,0
-0.001,-8.8,40,-0.0042,0.009,0.1,0
0.001,4.2,50,0.0051,-0.006,0,0
0.001,2.9,10,0.0036,-0.006,0.1,0
0.001,4.3,90,0.002,0.019,-0.1,0
-0.001,-2,90,-0.0062,0.007,-0.1,0
0.002,0.2,80,0.0073,-0.004,0,0
-0.002,-5.6,70,0.0052,0.02,-0.2,0
-0.001,-8.5,30,-0.0038,0.026,0,0
-0.001,-7,10,-0.0077,0.007,0.1,0
0.001,2.9,0,-0.0021,-0.02,0.2,0
0.001,5.8,0,0.0006,-0.021,0.1,0.01
0.001,7.1,20,0.0036,-0.017,0,0
-0.001,-4,-20,-0.0112,-0.009,0,0
-0.001,1.3,-20,0.0065,-0.006,0,0
0.002,2.1,-20,0.0045,0.01,0,0
-0.001,-1.4,-20,-0.0064,0.007,0,0.02
0.002,3.1,-10,-0.0016,-0.016,0.1,0
-0.004,-1.6,0,0.0027,-0.013,-0.2,0
-0.004,-2.8,-10,-0.0036,-0.01,-0.1,0
0.004,2.7,-10,0.0019,-0.014,0.2,0
0.002,3,0,0.0051,-0.005,-0.1,0
-0.005,-4.6,0,0.0024,0.01,-0.3,0
0.003,1.7,-30,0.0052,-0.005,0.2,0
-0.001,0.4,-20,0.008,0.026,-0.1,-0.01
-0.001,1.9,-20,-0.0077,0.022,0,0
0.001,4.3,0,-0.0009,-0.009,0,0
0.001,-1.1,10,0.0063,0.012,-0.1,0
0.001,-3.1,0,0.0044,0.03,0,0
-0.003,-4.8,-10,-0.0004,0.036,-0.1,0
0.003,8.2,0,0,-0.009,0.1,0
-0.001,6.9,20,0.0025,-0.007,-0.2,0.02
-0.003,-4.5,30,-0.0046,-0.007,-0.3,0
-0.001,-7.1,10,-0.0033,-0.019,0,0
-0.002,-5.9,0,-0.0007,-0.024,0.1,0
0.004,6.9,0,0.005,-0.011,0.2,0
-0.003,-2.9,30,0.0018,0.03,-0.2,0
-0.001,-5.5,0,-0.005,0.016,0,0
0.002,3,-10,0.001,-0.001,0.1,0
0.001,3.2,0,0.0045,-0.006,0,0
-0.001,-4.6,0,-0.0021,-0.008,-0.1,0
-0.001,-5.6,-10,-0.0014,-0.011,0,-0.01
0.002,4,-20,-0.0018,0.005,0.1,0
-0.001,-2.5,-10,0.0007,-0.023,-0.1,0
0.001,1.3,-20,-0.0072,0.009,0.1,0
0.001,6.2,-10,-0.0027,-0.009,0.1,0
-0.002,-3.7,10,0.0051,0.015,-0.2,0
-0.002,-5.2,-10,0.0004,0.03,0,0
0.001,0,-30,-0.0054,0.02,0.2,0
0.001,7.7,-10,0.0023,0.011,0.1,0
0.002,10.1,10,0.003,0.017,0.1,0
0.002,9.1,30,0.0011,0.021,-0.1,0.01
-0.002,-1.6,50,-0.0037,0.016,-0.3,0
-0.002,-6.2,40,-0.0056,0.004,-0.1,0
0.002,2.2,0,0.007,-0.005,0.1,0
-0.002,-4.6,0,-0.0014,0.025,-0.1,0
0.001,-1,-20,-0.0075,-0.013,0.1,0
0.001,2,-20,0.0059,-0.026,0,0
-0.001,-2,-10,0.01,-0.007,-0.4,0.02
-0.003,-11.1,-40,0.0057,0.025,-0.1,0
0.003,9.8,-60,-0.0033,0.022,0.5,0
0.001,14.9,-40,-0.0024,0.017,0.2,0.02
-0.001,7.5,10,-0.0059,0.005,-0.6,0.02
-0.004,-3.6,10,-0.0048,-0.006,-0.5,0
-0.002,-7.1,-20,0.0046,-0.013,0.1,0
0.002,4.9,-20,0.0004,0.037,0.1,0
0.003,5.3,10,-0.0013,0.013,0,0
-0.002,-7.7,20,-0.0003,0.012,-0.4,0
-0.002,-12.5,0,0.0003,0.011,-0.2,-0.02
-0.003,-9.1,-40,0.0013,0.015,0.2,0
0.005,9.2,-40,0.0023,0.023,0.5,0
-0.006,1.2,0,-0.0048,0.021,-0.5,0
0.001,0.4,0,-0.0054,-0.002,0.1,0
-0.003,-7.8,-10,0.0008,0.002,-0.3,0
-0.002,-8.5,-20,-0.0005,0.002,0.1,-0.01
0.002,5.8,-40,-0.0014,-0.005,0.3,0
0.004,8.4,-20,-0.0016,-0.007,0.1,0.02
-0.006,-2.4,-10,-0.0006,-0.014,-0.4,0.01
0.003,1.8,-20,0.0065,-0.002,0.2,0
-0.002,-2.9,-10,0.0012,0.026,-0.2,0
-0.002,-3.6,-20,-0.0019,0.026,0.1,-0.02
0.001,1.1,-20,-0.0075,0.014,0.2,0
0.003,3.9,-20,-0.0072,0.003,0.2,0.01
-0.007,-3.2,-10,0.0022,-0.011,-0.3,0.01
0.005,5.7,-10,0.0049,0.014,0.3,0
-0.004,-0.5,10,-0.0084,0.005,-0.2,0
0.003,2.5,10,-0.0064,-0.023,0.2,0
-0.001,-1.8,20,0.0056,-0.026,-0.3,0
-0.003,-8.3,0,0.007,-0.006,-0.2,0
-0.003,-8.3,-20,0.0046,0.011,0.1,0
0.005,8.4,-30,-0.0024,0.017,0.3,0
0.001,5.8,10,-0.0046,-0.002,-0.1,0
-0.002,-6.1,0,0.0026,0.001,-0.1,0
0.002,2.7,-40,-0.0026,-0.011,0.3,-0.01
0.004,8.4,-10,0.0033,-0.01,0.1,0
-0.005,-3.9,0,0.0002,0.006,-0.4,0
-0.002,-6.9,-10,-0.005,0,0,-0.01
0.001,-0.9,-20,-0.0023,-0.011,0.3,0
0.003,3.5,-20,0.0012,-0.012,0.2,0
-0.002,-4.6,-10,-0.0001,0.007,-0.2,0
0.001,3.5,-40,0,0.003,0.3,0.01
0.005,9.3,-10,0.0035,0.01,0.1,0
-0.006,-1.8,10,-0.0036,0.013,-0.4,0
0.001,-1.8,0,-0.0096,-0.011,0.1,0
0.005,3.1,0,0.0004,-0.041,0.2,0
-0.003,-5.6,0,0.0094,-0.018,-0.3,0
-0.002,-5.7,-20,0.0101,0.027,0.1,0
0.001,-0.6,-30,0.0023,0.046,0.2,0
0.001,2.6,-30,-0.0075,0.041,0.1,0
0.002,4.1,-20,-0.0061,0.006,0,0
0.001,1.4,-10,-0.0001,-0.001,-0.2,-0.01
-0.003,-6,-20,0.0053,0.009,-0.2,0
-0.002,-8.5,-40,0.0024,0.026,-0.1,0
-0.001,-7.4,-60,-0.0009,0.027,0.1,-0.02
0.001,-3.5,-70,-0.0062,0.019,0.2,0
0.004,6.9,-60,-0.001,-0.007,0.2,0
-0.004,0.7,-40,0.0009,-0.005,-0.2,0
0.003,8.9,-20,0.0064,0.013,0.2,0
0.003,7.2,10,-0.0018,0.023,-0.1,0
0.001,-0.9,20,-0.0089,0.009,-0.4,0
-0.002,-7.6,10,-0.01,-0.004,-0.5,0.01
0.001,-1.9,-30,0.0101,0,0.1,0
-0.002,0.1,-30,0.0105,0.023,0.1,0
0.001,5.2,-20,0.0011,0.044,0.2,0
0.001,7.3,-20,-0.006,0.041,0.1,0
0.002,9.4,0,-0.0099,0.025,0.2,0
0.003,6.7,30,-0.0052,-0.008,-0.1,0
-0.005,-0.9,40,-0.0008,-0.015,-0.4,0
0.005,1.9,30,0.0006,-0.001,0.1,0
-0.001,-2.8,30,-0.0038,-0.006,-0.3,-0.01
-0.004,-10.4,10,-0.0035,-0.018,-0.2,0
0.004,1.8,-30,0.0066,0.012,0.2,0
-0.006,-2.5,-30,-0.0024,0.02,-0.2,0
0.001,0.7,-30,-0.0072,0.006,0.3,0.01
0.002,7.5,10,0.0064,-0.006,0,0
0.002,6.6,30,-0.0021,-0.008,0.3,0
0.006,9.7,50,0.0029,-0.008,0.1,0.02
-0.002,-10.8,40,-0.0054,0.016,-0.2,0
-0.002,-10.3,10,-0.0023,0.004,0.1,0
-0.001,-6.3,0,0.0006,0.003,0.3,-0.01
0.004,0.7,-10,0.0012,0.005,0.3,0
-0.003,-4.7,-10,-0.0007,0.008,-0.2,0
0.001,5.5,-10,-0.0001,0.002,0.1,0
0.004,7,0,0,0.002,0,0
-0.006,-7.8,10,-0.0011,-0.001,-0.4,0
0.004,7.5,-20,0.0016,0.001,0.2,0
-0.002,-3.6,10,-0.0005,0.006,-0.2,0
0.001,4.4,10,0.0002,0.005,0,0
0.001,0.2,-10,-0.0076,-0.014,0,0
-0.001,-3.5,-20,0.0044,-0.004,-0.1,0
-0.002,-4.3,-30,-0.0003,0.002,0,0
0.004,4.7,-30,-0.0001,-0.009,0.3,0
0.001,-1.2,-10,-0.006,0.004,0,0
-0.002,-2.6,-20,-0.0052,-0.012,-0.1,0
0.002,4.4,-20,0.0037,0,0.1,0
-0.002,-3,-10,-0.0029,-0.002,-0.1,0
0.002,4,-10,0.0014,-0.005,0.1,0
-0.002,-3.8,0,0.0002,0.007,-0.1,0
0.001,2.9,-10,-0.0001,0.007,0.1,0
0.001,4,0,-0.0004,0.006,0,0
-0.001,-2.3,0,0,0.007,-0.1,0
0.002,5.6,-20,0.0007,0.003,0.1,0
-0.001,-3,0,-0.0003,0.003,-0.1,0
-0.002,-3.6,-10,-0.0003,0.002,0,0
0.002,5.1,-10,0.0007,0.003,0.2,0
0.001,6.2,20,0.0008,0.006,0,0
-0.001,-6.5,20,-0.0011,0.001,-0.1,0
-0.002,-7.1,0,-0.0005,-0.002,0,0
0.002,5.7,-10,0.0016,0.002,0.2,0
0.001,2.2,20,-0.0024,0,0.1,0
0.002,2.6,20,-0.0016,-0.005,0,0
-0.001,-5.7,20,-0.0003,-0.01,-0.2,0
-0.003,-10,-20,0.0048,0.003,-0.1,0
-0.001,-3.7,-50,0.0043,0.023,0.2,0
0.001,4.6,-50,-0.0011,0.031,0.2,0
0.001,7.9,-20,-0.0083,0.013,0,0
0.001,7.1,0,-0.011,-0.012,-0.1,0
0.001,2.3,30,0.0093,-0.038,0,0
-0.005,-5.9,0,-0.0089,-0.015,-0.1,0
0.001,-2.3,-20,0.006,-0.019,0.1,0
-0.002,-1.3,-20,0.008,-0.003,0,0
0.002,-0.2,-20,0.0088,0.012,0.1,-0.01
-0.004,-1.5,-20,0.0025,0.033,-0.1,0
0.003,2.4,-20,-0.0055,0.026,0.1,0
-0.002,0.5,-20,-0.0068,0.003,-0.1,0
-0.002,-3.7,-30,0.002,-0.015,-0.1,0
-0.002,-3.4,-40,0.0002,-0.009,0,0
0.002,6.4,0,0.0011,-0.01,0,0
-0.001,-4.4,10,-0.0023,-0.009,-0.2,0
-0.004,-6.9,0,-0.002,-0.016,-0.1,0
0.001,-2.7,-20,0.0022,-0.016,0.2,0.01
-0.002,-2.4,-10,-0.0004,-0.007,-0.1,0
-0.001,-2.1,-10,0.0029,-0.004,-0.1,0
0.003,2.1,-30,0.0053,0.019,0,-0.01
0.004,5.2,-20,-0.0065,0.006,0.2,0
-0.001,4.5,0,-0.0061,-0.01,-0.1,0
-0.001,-4.2,0,0.0019,-0.021,-0.2,0
-0.002,-7.3,-10,0.0055,-0.013,-0.1,0
-0.003,-6.8,-40,0.0068,0.005,0.1,0
0.003,7.4,-40,-0.0007,0.022,0.2,0
-0.004,-3.3,10,-0.0037,0.017,-0.3,0
-0.002,-4.3,0,-0.0033,0.009,0.1,-0.02
0.001,1.7,-10,-0.0032,-0.001,0.2,0
0.002,5.5,0,-0.001,-0.005,0.2,0
0.002,6,10,0.0014,-0.005,0,-0.01
-0.002,-5.9,20,0.0049,0.012,-0.3,0
-0.002,-8.8,0,0.0054,0.024,-0.1,0
-0.002,-6.8,-30,-0.0038,0.032,0.1,0
0.003,-3.5,-50,-0.0099,0.013,0.2,0
-0.002,-3.3,-50,-0.0094,-0.01,-0.1,0.02
0.004,6.6,-50,0.0041,-0.022,0.3,0
-0.001,-0.4,-10,0.002,0.023,-0.2,0
-0.002,-2.1,-10,-0.0003,0.024,-0.1,-0.01
0.004,6.4,-10,-0.0012,0.006,0.2,0
-0.003,-8.3,0,0.0004,0.01,-0.3,0
-0.004,-8.6,-30,-0.0015,0.008,0.1,-0.01
0.006,9.1,-30,0.0041,0.01,0.4,0
-0.004,-2.8,10,-0.0007,0.033,-0.4,0
-0.002,-5.2,-20,-0.0013,0.012,0,0
0.001,7.3,-10,-0.0033,-0.011,0.1,0
0.002,8.9,0,-0.0012,-0.015,0.1,0.01
0.001,8.4,20,0.0016,-0.015,-0.2,0.02
-0.003,-7,20,0.0032,0.008,-0.3,0
0.003,3.3,-20,-0.0035,0.001,0.2,0
-0.002,-4.1,-10,0.0017,0.004,-0.2,0
-0.001,-3.5,-30,0.0022,0.01,0.1,0
0.001,5.3,-20,-0.0031,0.006,0.1,0
0.002,7.5,0,-0.0016,-0.002,0.1,0
-0.002,-2,20,-0.0007,-0.009,-0.2,0
-0.001,-3.4,10,-0.004,-0.006,-0.1,0
0.001,-3.6,0,-0.0044,-0.012,0.1,-0.01
-0.003,-3.9,0,-0.0031,0.01,-0.1,0
0.003,2.9,-10,-0.0041,-0.006,0.2,0
0.001,1.1,20,0.0055,-0.002,0,0
-0.002,-5,10,0.0022,0.013,-0.2,0
-0.002,-6.3,0,-0.0012,0.014,0,0
0.003,4.2,-10,0.003,0.003,0.2,0
0.003,3.8,0,0.0062,0.012,-0.1,0.02
0.003,2,0,-0.0008,0.031,0.1,0
-0.004,-5.9,0,-0.0089,0.005,-0.2,0
0.003,9.3,-10,0.0055,-0.013,0.3,0.01
0.001,9.7,50,0.0087,0.029,-0.1,0
0.001,4.9,60,0.004,0.046,-0.2,0
-0.001,-2,70,-0.0029,0.048,-0.4,0
-0.003,-7.7,60,-0.0045,0.04,-0.3,-0.01
-0.002,-10.2,30,-0.0004,0.031,0,0
-0.005,-4.4,-10,-0.0037,0.028,-0.2,0
0.003,5.3,-10,-0.0003,0.014,0.4,0
0.002,5.5,10,0.0024,0.02,-0.1,0
-0.003,-3.5,20,0.002,0.029,-0.3,0
-0.003,-5.6,0,-0.0035,0.026,0,0
0.004,3.6,-10,-0.0042,0.011,0.3,0
-0.002,-5.9,0,0.0021,-0.001,-0.2,0
0.002,4.7,-20,-0.0078,-0.012,0.1,0
-0.001,-2.4,0,0.0088,-0.018,-0.1,-0.01
0.004,6.3,-10,-0.0053,-0.026,0.3,-0.01
-0.004,-3.6,10,0.0063,0.004,-0.2,-0.01
0.002,0.2,0,-0.0069,0.005,0,0
-0.002,-3.5,0,-0.0088,-0.034,-0.1,0
0.001,0.1,-10,0.0077,-0.041,0.1,0
0.004,1.8,-10,0.0119,-0.006,0,0
-0.005,-8.6,-20,-0.0007,0.019,-0.4,0.01
0.001,-6.7,-60,0.0006,0.01,0.3,-0.01
0.004,5.9,-60,-0.0016,0.011,0.4,0
0.001,8.3,-40,-0.0041,0.005,0,0
0.001,7,-30,-0.0042,-0.004,-0.1,0
-0.003,-2.7,-10,0.0019,-0.013,-0.2,0
0.002,2.6,-20,0.0084,0.014,0.1,0
-0.002,-2.4,-10,-0.001,0.043,-0.1,0
0.001,1.1,-20,-0.0086,0.001,0.1,0
0.003,2.5,-20,-0.0049,-0.013,0.1,0
0.001,-0.3,-20,0.0059,-0.011,0.1,0.01
0.002,0.8,-10,0.0071,0.013,0,0
0.004,3.4,-20,-0.0076,0.021,0.2,0
-0.001,1.2,-10,-0.0098,-0.002,-0.2,-0.01
-0.001,-2.2,-10,-0.0052,-0.029,-0.1,0
0.001,0.7,-20,-0.0055,0.013,0.1,0
0.001,0.7,0,0.0052,-0.008,0,0
-0.001,-2.7,-10,0.0047,0.012,-0.1,0
0.001,5.8,-10,-0.0011,-0.005,0.1,0
0.002,6.5,10,-0.0001,-0.006,0,0
-0.003,-4,20,-0.0022,-0.009,-0.2,0
0.001,-1.3,0,0.0039,-0.009,0.1,0
0.001,-2.9,0,-0.0054,-0.007,-0.1,0
-0.001,-4.2,-10,-0.0052,-0.016,-0.1,0.01
-0.002,-5.4,-20,0.0008,-0.021,0,0
-0.001,-3.1,-30,0.0062,-0.014,0.1,0.01
0.001,-0.1,-30,0.0089,-0.003,0.3,-0.01
0.001,2.6,-30,0.0091,0.013,0.1,0.01
0.001,2.6,-30,0.0054,0.025,-0.1,0.01
0.001,4.4,-20,-0.0034,0,0.1,0
0.001,5.8,10,0.0015,-0.003,0,0
-0.002,-3.7,20,0.0001,0.005,-0.1,0
0.002,5.8,20,-0.0001,0.003,0.1,0
-0.003,-4.6,40,-0.001,0,-0.2,0
0.002,7.6,60,-0.0013,0.023,0.1,0
0.003,6.2,70,-0.0047,0.018,-0.2,0.02
-0.001,-0.5,80,-0.0088,0.004,-0.4,0
-0.004,-7.7,70,-0.0088,-0.014,-0.3,0
-0.001,-9.3,50,-0.004,-0.028,0,-0.01
0.001,-4.8,30,0.0075,-0.024,0.2,0
0.002,-1.3,20,0.01,0.002,0.1,0
-0.002,-6.9,10,0.0038,0.029,-0.3,0
0.001,-5.5,-20,-0.005,0.024,0.1,0
0.003,11.6,-10,0.0041,0.016,0.3,0
0.003,12.8,40,0.0029,0.032,0,0
-0.002,-0.9,70,-0.0036,0.033,-0.5,0
-0.003,-8.9,60,-0.008,0.02,-0.3,0
-0.002,-9.1,10,-0.0042,-0.015,0,0
0.002,-1.8,-10,0.0069,-0.011,0.3,0
0.003,1.8,0,-0.0001,-0.013,0.1,0
-0.002,-7.7,-10,0.0028,0.004,-0.3,0
-0.001,-9.8,-30,0.001,0.007,0,0.01
0.003,5.3,-40,-0.0073,-0.017,0,0
0.001,2.7,-30,-0.0057,-0.031,-0.2,0.01
-0.002,-1.1,-30,-0.0032,-0.037,-0.3,0.01
-0.003,-5.2,-40,0.006,-0.032,-0.1,0
0.001,-3.3,-50,0.0105,-0.016,0.2,0.02
-0.001,-0.5,-50,0.0102,-0.001,0.1,0
0.002,6.8,-40,-0.0027,0.014,0.2,0
0.001,7.9,-30,-0.0069,0.007,-0.1,0.01
0.001,6.1,-10,-0.0053,-0.014,-0.1,0.01
-0.003,-1.3,0,0.001,-0.022,-0.2,0
0.002,4.2,0,0.0047,-0.005,0.2,0
0.001,-2.4,20,-0.0054,0.005,0,-0.01
-0.001,-4.7,10,-0.0026,-0.007,-0.1,0
-0.002,-5.6,0,-0.0016,-0.01,-0.1,0
0.002,-3,-20,0.0053,-0.007,0.1,0
-0.003,-3.2,-20,0.0039,0.012,-0.1,0
0.004,5,-20,-0.0026,0.017,0.2,0
-0.003,-4.7,-10,-0.0071,-0.015,-0.3,0
0.001,-6.1,-40,-0.0029,-0.034,0.1,0
-0.002,-5.3,-50,0.0021,-0.035,0,0
0.001,-1.7,-60,0.0055,-0.02,0,0.01
-0.002,-1.4,-60,0.0004,-0.014,0,0
0.004,9,-50,0.0009,-0.017,0.3,0
0.002,6.6,-10,0.0021,-0.01,-0.1,0
-0.004,-2.1,0,0.0019,-0.005,-0.4,0
0.002,1.8,-20,-0.004,0.005,0,0
0.001,2.5,-20,0.0046,-0.007,0.1,0
0.003,4.7,0,0.003,0.011,0,0
-0.003,-3.7,0,-0.0044,0.009,-0.3,0
0.003,1.3,-10,0.0011,-0.008,0.2,0
-0.003,-2,0,0.0041,0.02,-0.3,0.01
0.003,4.7,0,-0.0023,-0.005,0,0
0.001,0.3,10,-0.003,-0.011,-0.3,-0.01
-0.004,-5.6,0,-0.0012,-0.015,-0.3,0
0.001,-4.9,-30,0.0049,-0.007,0.1,0
-0.001,-4.8,-40,0.0002,0.003,0,0
-0.001,-3,-50,-0.0031,0,0.2,-0.01
0.004,4.7,-50,-0.0019,-0.008,0.4,0
-0.001,-2.3,-10,0.0027,-0.034,-0.1,0
-0.003,-2.9,-20,0.0058,-0.024,0,0
0.001,0.7,-20,0.0077,-0.006,0.2,0
0.001,4.6,-20,0.0057,0.012,0.1,0
0.001,5.3,-10,0.0025,0.019,0,0.01
0.001,3.3,30,-0.0027,-0.036,0.1,0
-0.002,-7.3,30,-0.0048,-0.012,-0.1,0
-0.002,-4.8,-30,0.0066,0,0,0
0.001,-1.1,-40,0.0063,0.016,0.2,0.01
0.002,3.6,-40,0.0021,0.028,0.2,0
-0.001,2.3,-20,-0.0059,0.02,-0.1,0
-0.001,3.7,-10,-0.0068,-0.013,0,0
0.001,4.9,0,-0.0041,-0.025,0.1,0
-0.003,-6.2,0,0.0002,0.002,0,0
0.003,6.2,0,-0.0016,-0.005,0.2,0
-0.001,6.4,20,-0.0017,-0.01,0,0
-0.004,-11.7,0,0.0015,-0.004,-0.2,0
-0.001,-8.5,-50,0.0002,-0.001,0.1,0
0.001,4.4,-60,-0.0009,-0.003,0.2,0
0.001,7.9,-50,-0.0012,-0.005,0.1,0
0.001,9.1,-20,-0.0014,-0.009,0,0
-0.002,-6,20,-0.0027,0.01,-0.1,0
-0.001,-6.1,10,-0.004,0.005,0.1,-0.01
0.003,3.6,0,0.0016,-0.01,0.1,0
-0.002,-4.5,0,0,0.004,-0.1,0
-0.001,-5.7,-20,-0.0019,-0.001,0,0
0.004,6.2,-30,0.0041,-0.008,0.1,0
-0.002,0.9,-10,0.0016,0.006,-0.3,0
0.001,4.1,-10,0.0009,-0.002,0.1,0
0.002,1.3,60,0.0003,-0.013,0,0
0.001,-4.9,60,0.0034,-0.006,-0.2,0
-0.003,-8.2,50,0.0029,-0.001,-0.3,0
0.002,7.1,0,0.0062,-0.007,0.1,0
-0.001,-6,20,-0.0064,0.009,-0.2,0
-0.001,-5.4,-10,-0.0047,-0.013,0.1,0
0.001,6,-10,0.005,-0.012,0.2,0
0.002,7.9,30,0.0054,0.018,0,0
-0.001,-2.3,50,-0.0099,0.006,-0.2,0
-0.001,-4.3,40,-0.0107,-0.018,-0.1,0
0.001,-1.7,10,0.0088,-0.02,0,0
-0.002,-5.2,-10,-0.0007,0.008,-0.1,0
0.002,7.1,0,0.0024,-0.015,0.1,0
0.001,4.8,20,0.0039,-0.005,-0.1,0
-0.002,-3.3,20,0.0003,0.007,-0.2,0
-0.001,-5.4,-10,0.0003,0.007,0,0
-0.001,-1.6,-30,-0.0022,0.008,-0.1,0
-0.001,-1.5,-30,-0.0034,0.004,0.1,-0.01
0.001,8.5,-10,0.0031,0.003,0.2,0
-0.001,-1.8,50,-0.0073,0.006,-0.3,0
-0.002,-6.4,40,-0.0076,-0.012,-0.2,0
-0.001,-7.8,20,-0.0053,-0.028,0,0
0.001,-1.8,-10,0.0067,-0.023,0.1,0
-0.001,-1.7,-10,0.0066,-0.008,0,0
0.002,4.3,-10,-0.0009,-0.015,0.1,0
-0.004,-5.6,0,0.0037,0.004,-0.2,0
0.001,-6.8,-20,0.0023,0.01,0,-0.01
-0.002,-5.9,-30,0.0002,0.012,0,0
0.001,7.9,-30,0.0003,0.001,0.2,0
0.001,9.8,-10,0.0014,0.003,0.1,0.01
0.002,9.4,30,0.0028,0.011,0,0
-0.005,-10.5,30,-0.005,0.011,-0.3,0
0.004,1.2,-10,-0.0001,-0.01,0.4,0
-0.003,-1.9,20,-0.0065,0.021,-0.1,0
0.003,2.8,20,-0.0053,-0.006,0.2,0
0.001,-5.1,0,0.0026,0.011,0,0
-0.002,-5.3,-10,-0.0003,0.013,0,0
-0.001,0.5,-10,-0.0032,0.008,0.2,0
0.001,5.6,-10,-0.0028,-0.001,0.2,0
0.003,8,20,-0.0014,-0.007,0.1,0
-0.003,6.7,30,-0.0019,-0.009,-0.2,0.02
0.002,6.7,40,0.0006,-0.012,0.1,0
0.001,4.8,60,0.0044,-0.005,-0.1,0
-0.002,-7.5,50,0.0006,0.008,-0.3,0
0.001,3.3,10,-0.0009,0.002,0.2,0
0.001,5.3,20,-0.0008,-0.001,0,0
-0.002,-5.5,20,0.0021,-0.009,0,0
-0.002,-3,0,-0.0023,-0.003,-0.1,0
0.001,2.5,-10,-0.0027,-0.019,0.2,0
-0.001,-1.2,20,0.005,0.015,-0.1,0
