REGRESSION,Column 2,Column 3,Column 4,Column 5
15,19,132,62,24
16,15,156,24,15
30,20,62,15,16
86,47,24,16,30
173,132,15,30,86
102,156,16,86,173
34,62,30,173,102
16,24,86,102,34
13,15,173,34,16
141,86,16,19,50
21,34,50,154,57
13,16,141,57,21
14,13,154,21,13
27,19,57,13,14
87,50,21,14,27
179,141,13,27,87
103,154,14,87,179
33,57,27,179,103
12,13,179,33,15
18,14,103,15,12
45,27,33,12,18
136,87,15,18,45
166,179,12,45,136
61,103,18,136,166
20,33,45,166,61
12,15,136,61,20
13,12,166,20,12
0,45,20,13,23
138,86,22,32,72
111,141,21,72,138
19,22,138,48,23
58,111,27,129,129
24,19,129,27,19
152,112,20,37,92
20,30,92,93,36
46,93,29,146,117
62,117,22,128,142
37,22,62,17,19
154,100,17,27,72
43,86,27,154,118
20,32,72,118,43
58,33,33,14,22
149,92,16,22,58
16,14,137,20,15
14,15,169,28,15
133,169,14,65,160
18,28,65,133,45
14,15,160,45,18
16,14,133,18,14
30,20,45,12,14
185,163,12,30,98
11,14,145,58,19
13,13,100,12,10
82,100,13,114,206
21,27,30,206,82
9,10,206,21,11
77,82,10,120,215
10,11,120,77,20
9,10,77,10,8
19,215,5,3,4
41,3,125,30,28
98,19,30,41,71
49,125,41,98,79
33,30,98,49,34
34,49,75,76,48
76,96,34,81,99
49,34,76,32,33
106,85,30,49,85
31,43,85,74,43
76,106,31,87,109
110,87,29,47,87
117,88,28,45,86
26,28,117,42,26
43,28,82,26,26
90,119,25,80,121
50,96,35,123,102
53,102,31,121,110
120,121,21,57,117
20,27,117,59,28
49,28,59,20,25
128,117,20,49,109
68,120,25,109,128
31,59,49,128,68
98,49,31,23,43
36,23,77,22,22
86,43,34,22,36
129,73,23,26,59
55,107,26,129,125
47,26,55,18,22
114,59,24,22,47
36,22,68,18,19
93,47,28,19,36
72,36,34,18,28
147,93,19,28,72
137,147,16,53,131
58,112,23,131,137
38,23,58,16,19
80,137,19,104,156
17,24,104,80,30
59,112,21,132,145
22,40,51,145,59
164,132,15,32,96
14,15,164,30,16
17,14,130,19,13
14,19,113,75,25
24,17,75,14,13
71,123,16,118,170
13,17,118,71,24
51,33,24,11,17
107,77,13,12,30
12,12,82,10,9
18,23,36,192,64
13,12,64,10,8
58,64,13,148,195
16,18,37,195,58
10,13,58,9,8
29,37,16,8,10
137,67,7,66,237
25,237,6,4,5
7,4,233,12,7
109,51,7,80,201
20,29,38,169,63
11,11,173,34,14
20,14,67,11,11
169,122,11,20,64
13,21,64,131,39
88,131,12,100,188
25,39,28,188,88
11,13,100,88,25
57,88,14,141,176
56,41,17,10,16
14,17,56,149,41
8,8,196,32,11
207,196,8,17,66
6,7,131,10,7
39,30,12,193,172
6,6,172,11,7
2,86,8,4,3
8,8,2,7,23
57,2,6,16,33
56,23,16,57,65
54,8,65,46,46
67,64,46,58,67
50,59,58,67,60
71,60,50,52,61
68,69,46,61,71
58,68,52,71,68
48,58,61,68,58
53,46,68,47,45
65,53,56,45,53
74,65,46,55,67
54,67,55,74,66
70,55,54,46,55
76,67,44,55,70
65,76,46,73,77
44,51,73,65,52
46,45,77,52,44
78,73,44,59,75
47,64,61,79,63
46,63,63,79,61
42,46,84,60,46
43,60,68,80,59
56,80,50,88,79
41,56,73,78,55
40,41,91,55,41
79,52,54,40,52
76,94,40,79,95
80,52,50,38,52
76,95,38,80,97
74,97,37,83,98
47,76,54,98,74
53,37,74,34,37
100,83,34,53,85
45,74,53,100,74
88,54,43,35,53
43,72,53,103,73
91,53,41,33,54
41,72,51,111,74
31,30,111,41,29
75,111,31,93,113
78,113,30,92,118
46,30,78,28,29
42,78,46,120,82
28,28,120,42,29
88,46,42,28,45
27,29,124,43,27
91,124,27,83,126
45,86,41,126,91
78,41,45,26,38
72,38,47,24,35
126,78,27,35,72
32,24,106,28,23
56,106,32,123,116
22,29,117,64,30
49,28,64,22,27
95,49,32,23,41
84,133,23,95,140
36,74,41,140,84
35,23,84,21,21
141,95,21,35,80
99,140,21,80,141
67,35,42,20,29
24,42,67,117,49
52,29,49,18,25
20,18,134,26,18
148,122,18,41,104
17,18,151,39,19
62,32,39,17,25
116,62,22,21,44
27,52,44,150,71
32,21,71,18,18
98,150,18,88,159
19,27,88,98,36
25,18,98,19,16
132,159,16,61,146
163,113,16,28,77
19,28,77,114,39
15,16,163,39,19
47,28,39,15,20
132,77,19,20,47
24,39,47,156,62
19,16,102,16,13
50,30,34,13,19
154,173,13,50,141
57,102,19,141,154
15,21,87,103,33
23,18,61,12,13
