REGRESSION,Column 2,Column 3,Column 4
5.9,34,40.3,28.23
5.9,14,-31.4,-110.84
5.8,585,-7.17,123.86
5.9,37,28.04,93.75
6.2,43,19.8,-56.11
5.8,2,-45.6,96.19
5.8,77,3.11,128.06
5.8,33,-31.78,57.32
6.3,60,-5.75,150.74
5.8,31,-20.46,-173.89
5.9,3,-6,150.75
5.8,607,-4.34,122.14
5.8,578,-27.46,-63.23
5.9,25,40.49,139.05
5.9,33,-20.45,-174.04
5.9,32,-13.49,166.54
5.8,23,27.4,87.84
5.8,0,49.88,78.96
5.8,94,-56.46,-27.05
6.5,6,-2.4,125.98
5.8,23,-2.64,126.04
5.8,33,-51.7,139.8
6.1,36,51.29,178.55
6.1,40,51.39,179.59
5.8,30,52.74,172.05
5.9,40,53.05,170.83
5.9,16,52.37,174.33
6.5,43,53.14,-161.85
5.8,32,52.05,175.6
6.1,33,53.26,-161.74
5.8,45,51.34,173.44
5.9,17,28.62,142.42
5.8,28,52.73,171.99
5.9,91,2.97,125.91
6.3,36,-25.67,-70.63
5.9,41,-5.43,151.97
6,33,-5.36,151.86
5.9,14,53.02,171.35
6.4,205,36.42,70.73
5.8,36,40.75,142.96
5.9,37,-1.47,126.5
6,58,-31.81,-71.26
5.8,22,55.2,162
6.4,68,-32.42,-71.1
6.1,41,40.73,142.85
6.5,20,50.32,177.93
6.3,45,38.38,22.26
5.9,39,35.06,24.31
5.8,12,-42.66,174.02
5.8,5,64.69,-160.23
5.8,51,54.25,-162.51
5.8,29,21,120.68
5.8,116,-7.02,129.61
6.3,60,47.41,-122.29
5.8,88,-55.99,-27.62
5.8,136,-6.2,130.33
6,80,22.41,121.26
5.9,3,-14.6,167.41
5.9,31,52.17,175.17
5.8,98,-56.24,-27.9
5.8,19,-7.53,128.6
5.8,27,15.93,-46.69
6,58,44.45,148.84
5.8,58,7.21,123.53
5.8,33,-54.59,5.4
6.7,40,53.03,-167.55
5.8,18,38.37,22.4
6.3,18,51.11,-171.3
6.2,33,-55.9,157.7
5.8,50,-7.31,-81.27
5.8,59,-5.21,151.65
5.9,14,-15.47,166.91
6.2,31,-15.75,167.12
5.9,26,-15.86,167.36
5.8,38,-5.25,152.13
6,36,-0.47,-19.93
6.1,328,-5.74,128.63
5.9,79,-18.84,-68.75
5.9,64,-22.91,-176.05
6.5,29,16.33,-95.8
6.1,30,58.29,-152.5
5.8,22,6.51,-84.44
6,55,-5.33,153.08
5.9,30,-6.37,151.66
6.1,62,-6.46,70.76
5.9,178,7.13,126.58
5.9,161,-1.4,-77.7
6.1,41,36.35,141.38
6,195,28.96,128.23
5.8,45,36.44,141.37
5.9,33,-54.74,-38.3
6.2,5,50.02,178.28
5.9,52,49.45,156.58
6,28,-42.9,-75.13
5.8,26,12.46,114.45
6.1,159,44.21,145.45
5.9,587,-9.04,-71.32
5.8,35,-22.34,-113.98
5.9,50,30.68,140.22
6.2,29,43.87,87.74
5.9,46,-29.34,-68.09
5.9,21,31,-41.53
6.1,50,53.89,160.68
5.9,122,-7.28,129.16
6.3,101,-6.21,130.39
5.8,41,51.32,-179.67
5.8,19,-9.61,159.77
5.9,118,-6.39,146.31
5.9,58,17.35,-100.04
6.4,38,58.35,-153.13
5.8,121,50.04,155.38
5.8,29,20.73,146.29
6.1,0,49.77,78.1
6.1,35,-17.66,167.96
6,7,-32.2,78.93
6,59,-5.41,151.57
5.8,53,48.29,154.36
6,50,31.49,80.5
5.8,17,1.85,126.4
6.5,42,24.24,122.67
5.9,627,-21.08,-179.15
6,34,0.81,29.9
6,0,49.72,78.07
5.9,28,37.49,115.06
6.2,40,23.86,122.97
5.9,61,23.72,142.18
6,61,51.24,157.76
5.8,23,57.37,-152.27
6,27,-0.78,122.22
5.8,75,-0.52,122.21
6,33,-52.77,160.17
5.8,22,-23.4,-174.72
6.1,214,36.43,71.12
6.3,37,11.26,139.57
6,242,-12.23,167.02
6,34,-10.43,160.89
6.1,20,-10.15,161.01
6.1,523,-7.21,124.69
6,33,29.62,80.83
6,36,29.71,80.89
6.1,102,24.86,122.56
5.9,16,51.99,179.95
6.3,29,50.57,-171.22
6,59,-0.1,125.01
6,11,-0.05,125.06
5.8,26,39.17,41.56
5.8,39,8.48,126.62
6.6,90,2.34,128.4
5.9,17,-23,170.6
5.9,27,-60.33,-27.25
5.9,39,27.87,54.3
6,165,-21.59,170.56
5.8,35,-60.44,-26.44
6.3,38,-10.74,-78.63
6,42,-1.52,-15.37
6.4,0,73.4,54.57
6,44,22.11,145.9
5.8,1,38.9,21.1
5.9,110,-31.95,-68.4
5.9,16,41.68,144.26
6,136,-14.03,167.04
5.8,0,49.92,77.76
5.8,571,-26.06,-63.1
6.1,46,-7.11,148.31
6.6,23,-25.51,-70.74
5.9,23,-15.16,-173.64
6.1,24,48.22,102.9
5.9,39,38.33,142.2
6,5,56.68,120.95
6.3,33,-14.83,-178.75
6.3,21,48.08,103.02
6,42,52.4,-169.54
6.3,1,24,-65.7
6.3,36,2.93,-74.83
6.1,598,-9.05,-71.34
6.1,21,-23.79,-175.14
5.9,88,-9.12,113.04
5.8,105,-0.09,123.95
5.8,126,-0.13,123.95
6,0,49.79,78.14
5.8,122,-0.16,-78.6
6,60,39.25,24.6
5.8,38,-10.64,166.29
5.9,50,-10.75,166.34
5.9,48,-10.77,166.25
5.8,33,-40.12,-74.68
6,80,-6.73,129.84
5.8,38,45.53,151.11
5.9,606,-6.01,112.33
6,33,-11.14,115.36
5.8,36,45.56,151.62
5.8,12,20,147.27
6.1,63,5.16,96.31
5.9,51,27.32,128.66
6,48,51.47,-178.32
5.9,109,-20.25,-68.83
6.2,184,-0.96,101.39
5.9,11,51.86,176.09
5.8,39,-15.33,-173.48
5.9,136,-58.36,-26.83
5.9,44,52.76,-166.9
5.8,28,-25.18,-70.54
6.2,38,54.44,-157.94
5.9,49,52.58,-168.13
6,33,40.67,30.69
5.9,160,6.84,-73.09
6,367,35.43,135.49
6,60,10.36,125.87
6.1,40,3.72,95.74
6.1,33,-60.84,-24.33
6.1,78,12.18,140.8
6.1,24,31.61,100.26
6.2,29,-10.59,-79.67
5.9,577,-27.62,-63.15
5.8,19,27.42,91.86
5.9,85,42.92,145.33
6,34,-57.82,-23.54
5.8,34,-49.57,163.93
5.9,126,-20.78,169.85
5.8,0,19.5,-60
5.8,20,-6.59,153.47
5.8,44,-5.66,153.92
6.2,605,-21.1,-179.18
6,60,-7.15,129.83
6.2,181,11.91,-85.98
5.9,0,73.4,54.42
6,73,24.43,122.25
6,0,-7.02,30.9
5.9,35,-28.78,-71.19
5.9,28,14.48,51.98
5.9,21,41.41,20.44
5.9,144,49.45,154.4
5.9,27,17.54,73.84
6,20,-21.89,-70.07
6.1,42,17.42,-61.19
5.9,5,17.61,-61.26
5.8,55,-5.25,153.7
6.3,91,-21.29,-68.2
5.8,33,-22.46,-174.61
6,80,-7.53,127.91
6,13,-9.29,158.46
6,29,-8.93,120.32
6.3,20,43.52,146.72
6,599,-6.1,113.36
6.2,46,-5.54,153.36
6,7,39.4,24.94
6,8,22.76,121.47
5.9,87,-16.13,-173.95
5.8,528,-6.59,116.18
6.2,37,32.48,132.28
5.9,40,32.24,132.21
6,12,33.22,-116.19
6.2,22,58.69,-149.93
6.1,30,43.58,-127.89
5.9,162,29.93,129.39
6.1,9,40.86,143.38
6.4,26,41.52,142.82
5.8,60,40.78,142.15
5.9,32,39.83,143.16
6,45,-30.86,-178.21
6,33,-30.84,-178.2
5.9,44,44.67,150.28
5.8,47,41.47,142.88
6.1,21,-41.72,172.03
5.8,618,-6.84,118.91
6.2,73,-2.98,139.34
5.8,45,44.48,150.19
5.9,27,-1.86,120.1
6,31,39.47,142.89
5.8,16,5.64,-82.6
5.8,26,41.06,143.1
6.1,33,-5.55,-77.2
5.8,33,-5.51,-77.3
5.8,68,36.01,139.33
5.8,72,-2.7,139.01
6,44,38.54,142.14
5.8,30,39.54,143.2
6.5,17,-30.97,-178.13
6.1,25,-0.27,133.47
5.8,36,-6.86,-80.42
5.9,31,16.3,122.11
6.3,36,16.56,-97.79
6.5,43,25.73,128.5
6.1,52,16.45,122.31
5.9,96,6.6,126.77
6.2,48,33.31,132.31
6.3,1,1.38,126.24
6.1,41,1.4,126.27
6.1,22,0.06,119.73
6.1,534,-10.2,159.9
5.8,33,1.17,126.14
5.9,25,34.15,59.01
5.9,14,34.09,58.24
6,32,-3.74,143.01
5.9,122,-8.62,-74.55
5.8,640,-21.57,-179.35
5.8,3,28.3,53.17
5.9,49,-6.08,148.77
6.2,103,10.76,-62.7
5.9,57,42.08,142.65
5.8,114,15.54,-92.65
5.8,12,-30.52,-178.01
5.9,151,-6.89,129.21
5.8,12,-3.65,143.37
5.9,66,-13.1,-76.37
5.8,0,49.82,78.18
6.1,45,-56.27,-27.07
5.8,10,-7.6,126.26
6.1,518,26.29,140.7
5.8,33,-39.85,87.74
5.9,18,-31.54,117
6.2,21,-3.38,143.29
5.9,49,-12.41,166.43
6,7,65.46,-150.07
6.1,1,1.2,126.34
5.8,596,-14.2,172.02
6.1,0,73.39,54.58
5.8,150,9.57,-72.63
5.9,49,40.3,142.39
5.9,15,-14.01,23.82
5.8,33,51.56,175.86
6,82,60.15,-152.82
5.8,79,-56.03,-27.57
6.2,71,-8.03,158.94
6.2,32,-10.57,164.46
6,138,-56.81,-26.93
6.3,238,44.89,143.21
6.2,114,-14.89,167.22
6,17,54.84,166
5.9,587,-21.87,-179.54
5.9,24,0.77,126.02
6,35,-17.15,-171.57
5.9,72,4.77,127.5
6.1,46,4.81,127.54
5.9,27,-8.07,-80.09
6,635,-22.75,178.76
5.8,3,41.42,79.24
6,425,-6.76,126.74
5.8,74,3.5,128.41
5.8,53,-3.17,118.91
6.5,14,35.97,-10.58
6.1,43,8.69,127.35
5.8,32,4.72,127.65
5.9,4,38.55,28.46
5.9,35,11.91,41.21
6.1,33,27.61,33.91
5.8,19,12,41.35
5.8,170,-6.11,129.91
5.9,38,-13.57,166.2
6.1,39,32.15,131.98
5.8,34,-30.5,-71.38
5.9,200,-16.71,-174.66
6.2,22,51.29,-179.85
5.8,22,34.43,25.04
6,52,49.41,155.54
5.8,66,-7.93,159.05
5.8,33,-52.53,159.7
5.8,41,53.31,-162.41
6.1,56,51.46,-179.95
5.8,44,52.21,158.95
5.9,6,38.43,119.47
5.8,54,-17.3,-72.48
5.9,1,-11.84,-75.1
6.3,531,-5.71,125.42
6.1,21,1.26,126.23
5.8,193,36.44,70.86
5.8,193,-6.14,129.69
5.8,8,43.46,147.91
5.9,45,43.59,147.63
6.5,41,43.44,147.82
6.5,38,43.61,147.18
6,0,43.63,146.5
5.9,0,43.72,147.8
6,33,43.78,147.48
6,44,1.81,126.41
6,70,43.45,147.98
6.2,46,43.14,147.44
5.9,320,21.57,143.1
5.8,49,43.17,147.46
5.8,34,25.12,-109.55
6,111,47.88,153.75
5.8,31,-8.89,157.95
5.8,17,-8.98,157.91
5.9,38,51.27,-179.17
6.1,39,31.08,131.43
5.8,37,15.3,-45.78
5.8,36,-60.9,-55.9
5.8,43,-11.75,-75.15
6.3,0,73.39,54.5
6.1,124,23.09,94.7
6,43,51.31,-179.23
5.9,7,34.77,-121.35
5.8,57,-16.11,-173.87
5.8,31,-53.37,23.6
6,22,51.26,-178.95
5.8,11,34.72,-121.28
6.1,74,27.8,60.02
6.4,20,1.94,94.61
6.2,51,57.7,163.56
5.8,113,37.16,71.64
6,0,49.94,78.98
5.8,0,43.79,54.75
6,51,1.99,126.94
5.9,31,8.2,58.49
5.9,329,46.21,142.45
6.4,1,15.79,-59.64
5.8,6,16.08,-59.79
5.8,62,28.55,129.15
5.8,15,24.12,102.49
6.1,189,-34.85,178.79
5.9,68,6.8,126.75
6.2,82,-25.85,-177.29
6.3,25,42.48,143.04
6.1,23,7.03,-104.24
5.9,18,15.57,-99.48
5.9,8,12.58,122.09
5.8,36,-9.84,-75.55
5.8,83,9.8,125.91
5.8,24,30.61,103.05
6,7,50.13,-179.59
6,161,52.59,-175.04
6,21,12.15,143.82
6,39,-19.07,168.54
6.2,44,44.65,148.99
6.1,16,57.39,-153.97
5.8,99,-29.6,-69.42
5.8,8,51.34,173.75
6.1,3,-22.08,126.65
6,11,0.28,119.37
5.8,59,-6.26,154.62
6,18,39.21,29.51
6,232,-17.07,168.56
5.8,82,6.78,126.66
5.8,75,39.78,141.91
6.5,40,15.78,121.71
5.8,23,38.34,22.56
5.8,25,15.08,122.01
6.2,243,-18.79,169.29
5.8,12,52.93,171.45
5.8,56,14.65,-92.59
5.8,37,14.61,-93.29
5.9,196,-4.37,151.81
5.9,12,50.19,91.24
6.1,6,-55.92,-28.07
6,406,27.22,140.29
5.9,85,-11.73,166.38
6.4,48,-9.15,-78.83
6,54,-9.93,-78.46
5.9,45,-9.28,-79.05
5.8,43,-10.22,-78.69
5.8,48,-9.88,-78.69
5.9,24,42.48,78.71
5.9,53,44.72,149.46
6.2,87,-24.47,-68.46
6,64,-58.86,157.6
5.9,32,-2.9,139.08
5.9,10,-51.94,-74.14
5.8,99,-16,-71.88
6.1,44,-22.28,-70.55
5.9,72,-7.9,158.68
6.2,50,-8.75,124.04
5.8,587,-21.66,-179.42
5.8,55,-10.14,-78.6
5.8,148,18,-64.67
5.8,44,51.35,-178.51
6.1,47,32.26,131.78
6,47,32.31,131.83
5.8,73,-37.73,177.66
6.4,68,26.02,95.37
6.5,653,-1.46,-72.56
5.8,17,1.16,126.2
5.9,46,-13.92,166.65
6.1,20,-14.13,166.56
5.8,45,-60.63,-25.27
5.8,43,-13.89,166.53
5.9,92,-9,117.95
5.8,30,60.7,-145.38
5.8,33,-56.46,-142.61
6,76,-4.6,153.22
6.5,643,52.36,151.64
6.2,39,17.7,147.65
5.8,50,13,144.5
5.8,42,-6.5,154.63
6,8,6.37,-77.48
5.8,6,6.52,-77.4
6,60,-13.52,166.59
5.8,32,-3.56,86.19
6,7,-31.94,-177.89
5.8,33,-32,-178.1
5.9,124,-4.1,143.1
6.6,0,73.31,54.89
5.8,37,39.25,140.71
6,45,-4.97,145.45
6.2,33,-3.43,135.65
6.2,22,-5.1,145.13
5.8,80,-6.05,148.55
5.8,39,43.46,146.94
5.8,16,-20.94,-69.81
5.9,119,-4.11,142.88
6,10,-11.02,163.45
5.8,25,-11.03,163.41
5.9,29,-23.19,-70.11
5.8,39,41.79,143.5
6,183,29.79,140.11
5.8,46,-30.81,-71.16
6.3,15,-3.97,-80.66
6,0,43.87,54.78
5.8,46,-1.59,99.95
6,0,43.81,54.82
6.2,63,-5.23,153.59
6,70,-10.58,161.39
6.5,41,-3.21,139.69
5.9,3,-2.95,139.64
6.2,40,-3.06,139.62
5.8,34,-3.31,139.76
5.9,39,-3.01,139.62
5.8,52,-3.24,139.84
6.2,18,-3.31,139.91
5.8,22,-3.37,139.91
6,55,-3.08,139.45
5.9,33,-3.41,139.55
5.8,134,-3.63,139.44
5.9,31,-9.65,151.4
5.9,45,51.46,-177.71
6,515,51.69,150.97
5.8,57,-2.89,139.38
6.2,40,0.53,98.72
5.8,40,51.47,-176.81
6,12,-63.43,-61.36
6.2,9,34.4,-118.43
6,166,-23.81,-67.2
6.2,115,-5.75,145.39
5.9,21,-10.93,163.8
5.8,20,8.43,127.23
6.1,49,-22.96,-176.14
5.9,29,70.97,-6.86
5.8,14,41.42,79.2
6,92,4.76,126.52
5.8,0,60.33,-140.94
5.9,33,37.3,71.07
5.8,49,38.41,142.18
6,67,-0.36,124.73
5.8,150,53.26,-170.53
6.3,29,2.45,129.13
6.3,74,-4.42,102.32
6,37,28.3,55.61
5.9,0,49.77,78.08
6,38,51.41,-177.21
5.9,46,-6.54,105.37
5.8,146,-42.28,-71.79
6,29,-39.78,-104.87
5.9,42,7.99,126.95
5.9,0,63.92,146.1
5.9,3,38.85,40.52
6,35,18.02,-69.79
5.8,19,51.67,176.04
6,76,-25.4,-69.06
5.8,34,-5.26,153.46
6.2,54,-6.23,154.45
5.9,0,-5.18,96.89
6.3,58,-5.97,144.38
6.1,92,-7.03,129.7
6.5,40,-32.51,-71.21
5.8,36,-32.19,-71.72
6,43,-5.52,153.87
5.8,48,-4.86,153.32
5.9,37,-5.78,153.8
5.8,36,52.13,173.03
6.6,43,-4.93,153.18
5.8,41,39.81,77.22
5.9,74,-5.4,152.07
5.8,33,-5.53,151.84
6.1,77,-5.16,152.26
6.2,48,-5.7,151.96
6,23,-5.81,151.55
6.1,49,-5.86,151.31
6.4,88,-2.79,-77.35
5.8,59,-4.89,153.34
5.8,25,-5.14,152.87
6.5,45,41.37,143.44
6,43,-0.85,-22.07
5.9,60,-5.88,154.31
5.9,43,-5.74,152.13
6.1,32,49.29,155.49
5.8,9,13.3,-92.41
5.9,33,-55.73,-26.04
6,14,46.54,141.15
6.1,21,46.76,141.39
5.8,27,46.28,141.03
6,7,44.34,150.85
5.8,29,-20.41,-174.17
6.1,22,-6.46,151.55
5.9,4,-6.79,151.8
5.8,30,39.17,143.4
6.4,107,-5.93,130.68
6.3,111,-6.54,146.64
5.8,70,-0.02,124.84
6.5,0,73.39,54.91
5.8,27,46.41,141.16
5.9,148,3.63,125.92
6,30,-0.45,-4.89
5.9,52,-6.55,154.97
5.8,111,-5.42,154.28
5.8,26,11.83,142.52
5.9,50,-6.49,151.18
6.1,21,11.86,142.38
6.2,21,11.86,142.35
6.3,49,-15.57,167.24
6.4,45,-5.93,154.05
5.8,107,-5.57,153.99
5.8,66,-5.95,153.84
5.9,53,10.11,92.93
6,533,-23.45,-179.88
6.5,119,-11.87,166.55
5.8,135,-11.94,166.57
6.4,99,52.85,159.22
5.8,33,-55.19,-128.87
5.8,99,-29.86,-69.5
6.2,38,44.77,153.33
5.9,77,-6.02,154.56
6.2,39,56.04,163.17
6,0,47.9,48.07
5.9,116,-4.75,151.84
5.8,11,-16.85,174.9
5.9,6,22.5,122.08
5.9,166,-4.6,151.86
5.9,29,-30.65,-177.82
5.9,12,-2.09,138.96
6.1,36,20.95,120.26
6.2,56,-55.72,-28.75
5.8,23,-4.84,145.1
5.9,37,-4.74,145
5.8,214,36.4,70.72
5.8,33,-13.18,166.32
5.8,12,-3.54,151.29
6.2,29,22.55,122.37
6,34,23.05,122.14
6.1,127,-19.38,169.13
5.8,45,19.36,122.06
5.8,5,-15.36,-173.3
6.2,101,-11.43,166.37
5.8,60,-17.62,-71.27
5.9,40,-60.59,-25.5
6.5,50,33.38,140.97
5.9,52,33.48,141.05
5.9,12,-18.94,-173.72
5.8,54,33.45,141
6.1,181,-28.25,-178.27
5.9,29,-3.74,131.39
5.9,37,33.6,141.38
5.9,72,40.84,141.98
6.1,52,-6.79,-76.76
6,43,51.27,-179.21
6.2,135,49.05,153.6
5.8,33,-45.1,166.68
6,43,56.14,-157.14
5.8,124,48.04,153.13
5.9,40,43.33,146.03
6.1,479,-25.69,179.58
6.2,33,-49.35,164.09
5.9,1,-16.05,-173
6.1,376,-7.47,125.56
5.9,33,-53.52,159.08
5.8,21,42.09,84.58
6,11,28.39,52.78
6,0,0.99,-28.3
5.8,48,24.1,122.44
5.8,91,53.95,-166.82
5.8,116,-31.4,-110.99
6.1,29,23.6,121.55
6.4,38,13.38,120.34
6,413,-5.13,154.23
5.9,30,5.22,-100.32
6.3,46,-15.94,167.53
5.9,14,35.16,23.56
5.8,38,-4.21,152.71
5.8,565,-17.82,-178.79
5.8,342,-27.74,-178.99
5.9,36,16.61,122.19
6.1,208,-17.76,-175.06
6.1,45,-11.05,116.97
5.9,39,-30.34,-71.58
6.2,336,3.86,124.26
5.8,27,53.25,-166.78
5.9,66,-7.12,155.87
5.9,47,36.28,69.69
5.8,31,50.1,-129.3
6.2,29,56.77,-135.91
5.8,19,30.71,141.82
5.8,92,2.35,127.56
5.8,47,49.13,155.97
5.9,10,-11.1,162.17
5.8,20,-16.66,-172.01
5.8,45,51.34,-179.29
5.9,43,-6.29,144.46
6.3,26,-6.04,152.9
5.8,22,-6.05,152.63
6.1,53,-5.15,134.09
5.9,573,49.47,147.08
5.9,115,-33.49,-179.4
6.3,0,73.39,54.65
5.8,122,-14.99,167.3
6.1,51,29.41,130.64
6.2,45,35.94,73.33
6.1,64,-11.78,166.31
5.9,154,1.9,128.2
6.1,49,-19.89,169.08
5.8,107,-2.52,119.22
5.9,0,71.42,-10.39
5.9,48,-15.35,-175.6
5.8,75,37.96,22.38
5.8,30,-20.36,168.89
6,20,15.23,-96.26
5.8,23,-9.93,119.6
5.8,0,19.55,-70.22
6,33,-6.22,131.15
5.9,33,-6.56,131.3
5.8,7,-30.91,-68.21
5.8,10,-16.47,-172.17
6,632,7.46,123.77
5.8,119,1.81,127.45
6,35,52.89,-162.98
6.3,33,-8.79,124.98
6,63,27.48,128.57
5.8,2,-7.33,146.83
6.1,0,49.91,78.85
6,37,-20.03,168.91
5.9,22,23.87,121.61
5.9,111,38.33,73.17
5.8,0,-6.72,154.53
6,73,6.41,126.62
6.7,62,33.34,140.82
6.1,0,-1.52,136.67
6,0,49.97,78.95
5.9,16,44.68,149.37
5.9,83,-7,155.81
6,139,-7.5,127.83
6.9,159,-4.35,153.45
5.9,61,-30.51,-71.08
6.4,147,-39.02,175.23
6,24,-14.66,166.41
6.3,38,-6.88,150.03
6,90,-12.1,166.52
5.9,112,-0.14,124
6.1,48,18.53,-102.93
5.9,508,28.22,139.3
6,214,-22.53,-66.19
5.9,5,31.33,100.49
5.9,35,31.5,100.33
5.9,42,22.27,121.52
5.8,53,-19.16,168.69
6.2,41,-61.1,-38.01
6,62,50.51,156.58
5.9,24,54.73,161.7
5.9,25,6.32,127.38
5.8,56,-3.01,139.08
6,62,50.78,157.19
5.9,11,2.18,126.65
5.9,193,-19.41,169.39
5.9,44,13.41,122.87
5.9,33,2.09,126.55
5.9,51,29.3,130.41
6.1,146,4.7,-75.67
5.8,39,7,91.33
5.8,38,-15.81,167.24
5.8,15,-9.81,119.29
6.1,46,50.86,157.43
6.4,20,4.96,-78.12
6,19,-59.38,-26.12
5.9,9,20.05,-155.16
6,15,-10.01,150.2
5.8,33,2.25,126.74
5.8,48,-1.46,99.8
5.8,0,-6.34,151.18
5.8,23,-6.26,151.86
6.1,0,53.97,-163.71
5.8,1,24.31,93.52
5.8,33,-54,159.35
6.2,91,-10.31,161.42
5.8,0,-6.73,154.81
5.9,55,-7.27,156.14
5.9,33,53.61,161.38
5.8,44,51.27,-179.38
5.8,0,44.98,-125.87
6.5,41,43.12,145.74
5.8,39,42.92,146.39
6,11,42.65,146.08
6.5,0,-5.88,151.86
6.3,26,43.28,146.43
5.8,19,43.14,146.89
5.8,45,19.11,121.19
5.8,10,43.01,146.66
5.9,56,43.28,145.81
6.2,30,57.86,-137.42
6,56,12.21,125.29
6.1,0,57.99,-138.04
5.9,22,35.16,86.4
5.8,49,36.45,141.05
5.9,373,-24.83,-179.19
6.1,0,49.94,78.85
6.1,203,-14.33,167.29
6,33,-16.22,-173.08
5.9,44,43.38,146.46
5.9,109,-4.5,144.1
6,346,-31.38,-179.38
5.8,33,57.09,-154.12
5.9,55,-7.22,156.08
6.6,75,18.25,-96.58
5.8,77,-0.15,-17.97
5.9,45,-37.27,179.32
5.8,43,7.15,84.33
5.8,552,42.48,131.05
6.8,0,73.32,54.97
5.8,64,9.2,126.19
5.8,128,-7.02,-76.19
5.9,542,9.23,123.92
6,33,-4.4,-102.1
6,33,-4.37,-102.04
5.8,33,-54.97,146.25
5.9,0,70.8,53.42
6.3,567,41.93,130.99
5.9,56,35.67,140.64
5.8,33,-32.98,-71.87
6.2,33,-61.05,-21.7
5.9,28,-14.34,167.06
5.9,32,0.52,-29.47
6,56,19.42,-104.98
6.1,517,-21.95,-63.65
6.9,0,70.8,53.92
5.9,48,-2.96,139.34
5.8,7,-25.98,-67.72
5.8,18,51.52,-175.27
5.9,60,49.99,156.33
5.8,270,-31.2,-179.47
5.9,62,49.99,156.31
6.1,56,38.98,141.93
5.9,45,53.61,160.49
6.2,124,-15.18,167.43
5.8,23,-35.59,-74.54
5.8,42,43.25,146.75
5.9,26,-19.9,169.66
5.8,0,50.03,79.02
5.8,52,51.38,-177.85
6,42,-9.52,119.39
5.9,191,-20.61,-176.32
6.2,517,-23.88,180
6.3,13,-14.56,166.8
6.2,43,-15.13,166.91
5.8,41,-14.92,166.48
5.8,10,-15.37,166.54
6.6,83,-22.49,-68.26
6.1,92,-12.28,-76.3
5.9,24,-38.84,46.43
6.3,36,-14.45,166.87
5.8,27,42.03,143.89
5.9,51,-5.15,134.15
5.9,32,-7.39,155.92
5.8,33,-7,155.78
6.2,12,-7.28,155.63
5.8,21,18.93,120.13
5.8,39,-5.13,133.91
5.8,46,-7.35,155.82
5.9,7,53.74,-164.7
5.8,10,-3.79,134.01
5.9,391,33.17,136.98
5.8,46,44.01,147.78
6,37,1.27,97.63
5.8,34,9.51,-83.95
6,19,-20.02,169.77
5.8,47,-7.48,156.2
5.8,57,-7.48,156.01
5.8,154,48.31,153.16
5.9,25,-14.91,-172.83
6,504,-23.93,179.88
5.8,74,12.57,144.24
5.8,23,57.56,-153.92
5.8,8,55.15,-160.57
6,6,55.05,-160.51
6.1,44,-26.28,-175.78
6.2,386,-31.55,179.79
6,33,-33.49,-177.31
5.8,10,34.57,138.75
5.9,33,-4.3,-102.07
5.8,17,28.19,103.98
6.1,43,1.87,126.48
6.2,26,19.73,147.34
6,58,49.98,156.22
5.9,100,-11.17,-75.01
5.8,141,-6.55,106.77
5.8,13,-17.68,167.8
6.2,7,-17.62,167.53
5.9,0,49.91,78.91
6.1,256,-15.89,-175.04
6,397,-31.88,179.94
