decile1b,decile3,lsat,ugpa,zfygpa,zgpa,fulltime,fam_inc,male,racetxt,tier,pass_bar
7.00,8.00,45.00,3.90,0.46,0.72,1.00,3.00,0.00,1,5,1
8.00,8.00,21.00,3.30,0.79,0.71,1.00,1.00,0.00,1,1,1
8.00,9.00,44.00,3.70,0.77,1.14,1.00,3.00,1.00,1,6,1
4.00,5.00,35.00,3.00,-0.18,-0.16,1.00,3.00,0.00,1,3,1
10.00,9.00,46.00,3.30,1.42,0.97,1.00,4.00,1.00,1,4,1
6.00,4.00,44.00,2.70,0.10,-0.41,1.00,4.00,1.00,1,3,1
4.00,1.00,26.00,2.30,-0.33,-1.52,1.00,3.00,0.00,0,5,1
2.00,1.00,31.00,3.50,-1.06,-1.48,1.00,3.00,1.00,1,5,1
10.00,10.00,44.00,3.70,1.63,1.41,1.00,3.00,0.00,1,5,1
2.00,2.00,45.00,3.70,-0.94,-1.10,1.00,4.00,0.00,1,6,1
1.00,1.00,41.00,2.70,-1.32,-1.64,1.00,4.00,1.00,1,3,0
4.00,4.00,33.00,3.20,-0.39,-0.55,1.00,4.00,0.00,1,3,1
9.00,8.00,38.00,3.40,1.23,0.62,1.00,4.00,0.00,1,3,1
6.00,5.00,30.50,3.00,0.35,-0.21,1.00,3.00,1.00,1,1,0
8.00,6.00,31.00,2.80,0.68,0.23,1.00,3.00,1.00,1,3,1
7.00,7.00,34.00,3.50,0.42,0.50,1.00,4.00,0.00,1,2,1
2.00,3.00,37.00,2.30,-0.76,-0.86,1.00,3.00,1.00,1,3,1
7.00,6.00,35.00,3.10,0.39,0.06,1.00,4.00,1.00,1,4,1
9.00,10.00,34.00,3.20,1.22,1.33,1.00,4.00,0.00,1,3,1
9.00,9.00,33.00,3.70,1.19,1.31,1.00,4.00,0.00,1,3,1
9.00,9.00,44.00,3.40,1.07,0.90,1.00,3.00,0.00,1,4,1
1.00,1.00,32.00,3.00,-1.81,-1.47,1.00,3.00,0.00,0,4,1
2.00,1.00,32.00,2.90,-0.88,-1.66,1.00,4.00,1.00,1,3,1
4.00,4.00,41.00,3.50,-0.20,-0.40,1.00,4.00,1.00,1,4,1
10.00,10.00,39.00,3.60,1.53,1.79,1.00,1.00,0.00,1,3,1
5.00,6.00,39.00,3.10,-0.10,0.22,1.00,5.00,1.00,1,3,1
3.00,2.00,47.00,4.00,-0.78,-1.08,1.00,3.00,1.00,1,6,1
10.00,9.00,39.00,3.80,1.32,0.92,1.00,4.00,1.00,1,3,1
10.00,9.00,37.50,2.60,1.59,0.97,2.00,3.00,1.00,1,3,1
4.00,3.00,33.00,3.90,-0.31,-0.57,1.00,3.00,1.00,1,4,1
4.00,5.00,30.00,3.10,-0.28,-0.09,1.00,4.00,1.00,1,2,1
9.00,7.00,31.00,3.00,0.94,0.43,1.00,3.00,0.00,1,4,1
4.00,4.00,42.00,3.20,-0.33,-0.29,1.00,4.00,1.00,1,5,1
10.00,10.00,38.00,3.70,1.38,1.54,1.00,3.00,1.00,1,4,1
4.00,4.00,37.00,2.90,-0.34,-0.33,2.00,3.00,0.00,1,3,0
4.00,5.00,36.00,3.40,-0.29,-0.22,2.00,3.00,1.00,1,5,1
5.00,6.00,43.00,3.10,0.03,0.13,1.00,2.00,1.00,1,5,1
10.00,10.00,44.00,3.10,1.97,2.23,1.00,3.00,1.00,1,4,1
7.00,8.00,29.00,2.50,0.32,0.61,1.00,4.00,1.00,1,2,1
8.00,8.00,36.00,3.10,0.68,0.63,1.00,4.00,1.00,1,3,1
5.00,5.00,23.00,2.30,-0.03,-0.20,1.00,3.00,0.00,0,3,1
4.00,5.00,42.00,3.40,-0.30,-0.04,1.00,4.00,1.00,1,6,1
10.00,9.00,39.00,2.80,1.34,1.15,2.00,3.00,1.00,1,3,1
8.00,9.00,37.00,3.10,0.64,1.08,1.00,4.00,0.00,1,3,1
9.00,7.00,39.00,3.00,0.90,0.32,1.00,4.00,1.00,1,4,1
9.00,10.00,39.00,4.00,1.06,1.32,1.00,4.00,1.00,1,4,1
5.00,5.00,33.00,3.10,-0.05,-0.06,1.00,3.00,1.00,1,3,1
3.00,3.00,43.00,3.40,-0.58,-0.75,1.00,4.00,0.00,1,5,0
4.00,1.00,32.00,3.00,-0.41,-1.70,1.00,3.00,0.00,1,3,0
8.00,8.00,39.00,3.30,0.65,0.67,1.00,3.00,1.00,1,6,1
5.00,6.00,45.00,3.50,-0.15,0.13,1.00,4.00,0.00,1,6,1
7.00,7.00,32.00,3.90,0.51,0.38,1.00,4.00,0.00,1,3,1
5.00,5.00,39.00,3.70,-0.03,-0.12,1.00,3.00,1.00,1,3,1
5.00,6.00,40.00,3.90,0.00,0.13,1.00,2.00,0.00,1,5,1
6.00,6.00,41.00,3.60,0.17,0.19,1.00,4.00,0.00,1,4,1
8.00,8.00,34.00,2.90,0.82,0.68,2.00,3.00,0.00,1,2,1
3.00,2.00,35.00,2.60,-0.52,-1.17,1.00,3.00,1.00,1,2,1
3.00,3.00,42.00,2.90,-0.61,-0.81,1.00,4.00,1.00,1,4,1
3.00,7.00,47.00,3.20,-0.66,0.45,1.00,4.00,1.00,1,3,1
7.00,5.00,36.00,3.90,0.57,0.00,1.00,5.00,1.00,1,4,1
3.00,5.00,39.00,3.40,-0.70,-0.24,1.00,5.00,1.00,1,5,1
9.00,8.00,29.00,2.70,1.05,0.58,1.00,3.00,0.00,0,1,1
7.00,7.00,46.00,3.10,0.47,0.42,1.00,4.00,1.00,1,4,1
4.00,3.00,42.00,3.30,-0.23,-0.65,1.00,3.00,0.00,1,1,1
1.00,1.00,46.00,3.50,-1.43,-1.53,1.00,5.00,1.00,1,6,1
10.00,10.00,38.00,3.00,1.38,1.56,1.00,4.00,1.00,1,4,1
9.00,9.00,40.00,2.80,0.93,1.13,2.00,4.00,1.00,1,4,1
10.00,9.00,46.00,2.90,1.74,1.26,1.00,4.00,0.00,1,3,1
5.00,4.00,22.00,3.30,-0.16,-0.52,2.00,4.00,0.00,0,4,1
2.00,2.00,40.00,3.70,-0.89,-1.08,1.00,3.00,0.00,1,3,1
1.00,3.00,27.00,2.70,-1.50,-0.81,1.00,4.00,1.00,0,4,1
8.00,6.00,40.00,3.20,0.67,0.14,1.00,5.00,1.00,1,3,1
5.00,6.00,39.00,3.50,-0.04,0.16,1.00,3.00,1.00,1,4,1
1.00,1.00,31.00,2.70,-1.79,-1.77,1.00,3.00,0.00,0,3,0
8.00,6.00,37.00,3.60,0.58,0.25,1.00,4.00,0.00,1,3,1
6.00,5.00,27.50,3.10,0.25,-0.11,1.00,4.00,1.00,1,4,1
2.00,1.00,44.00,2.90,-1.13,-1.83,1.00,4.00,1.00,1,4,1
4.00,7.00,38.00,3.10,-0.27,0.32,1.00,3.00,0.00,1,3,1
7.00,8.00,37.00,3.30,0.55,0.57,1.00,4.00,0.00,1,6,1
1.00,1.00,39.00,3.50,-1.44,-1.72,1.00,4.00,0.00,0,6,1
4.00,1.00,33.00,3.00,-0.34,-1.34,1.00,4.00,0.00,1,3,1
6.00,9.00,34.00,3.50,0.10,0.88,2.00,4.00,0.00,1,3,1
2.00,1.00,40.50,3.60,-1.12,-1.40,1.00,4.00,1.00,1,5,1
9.00,9.00,43.00,3.30,0.95,1.12,1.00,3.00,0.00,1,3,1
4.00,5.00,41.00,3.00,-0.39,-0.23,1.00,2.00,1.00,1,4,1
10.00,9.00,48.00,3.50,1.99,1.26,1.00,2.00,1.00,1,4,1
5.00,5.00,42.00,3.10,0.01,-0.23,1.00,3.00,0.00,1,4,1
7.00,7.00,29.50,3.60,0.47,0.36,1.00,4.00,1.00,1,3,1
4.00,5.00,40.00,3.40,-0.26,-0.16,1.00,5.00,0.00,1,5,1
8.00,6.00,35.00,3.30,0.66,0.10,1.00,4.00,1.00,1,4,1
4.00,5.00,33.00,3.10,-0.30,-0.29,1.00,4.00,1.00,1,2,1
4.00,5.00,33.00,3.50,-0.22,-0.27,1.00,3.00,1.00,1,3,0
10.00,10.00,42.00,3.50,1.38,1.63,1.00,3.00,0.00,1,4,1
7.00,9.00,44.00,3.60,0.55,1.19,1.00,3.00,1.00,1,4,1
9.00,8.00,39.00,3.50,1.19,0.55,1.00,2.00,0.00,1,3,1
9.00,8.00,46.00,3.10,1.04,0.61,1.00,4.00,0.00,1,5,1
4.00,5.00,42.00,3.40,-0.25,-0.10,1.00,4.00,0.00,1,4,1
9.00,10.00,48.00,3.80,1.30,1.30,1.00,4.00,1.00,1,4,1
10.00,10.00,37.00,3.00,1.53,1.72,1.00,4.00,1.00,1,3,1
7.00,7.00,30.30,2.70,0.30,0.32,1.00,4.00,0.00,1,2,1
7.00,7.00,40.00,3.00,0.53,0.47,1.00,4.00,0.00,1,4,1
8.00,6.00,47.00,2.90,0.71,0.02,1.00,4.00,1.00,1,5,1
3.00,2.00,39.00,2.40,-0.47,-1.04,1.00,3.00,0.00,1,3,1
6.00,8.00,38.00,3.60,0.11,0.72,1.00,4.00,1.00,1,3,1
6.00,4.00,40.00,3.20,0.10,-0.51,2.00,4.00,0.00,1,3,1
10.00,9.00,40.00,3.40,1.34,0.95,1.00,4.00,0.00,1,3,1
10.00,2.00,37.00,2.30,2.60,-0.90,1.00,2.00,0.00,0,4,1
9.00,9.00,34.00,3.60,1.24,1.22,1.00,4.00,1.00,1,4,1
6.00,7.00,39.00,3.20,0.28,0.46,1.00,4.00,0.00,1,4,1
3.00,6.00,35.00,3.50,-0.60,0.07,1.00,4.00,0.00,1,3,1
3.00,4.00,45.00,3.80,-0.56,-0.30,1.00,3.00,1.00,1,6,1
7.00,4.00,32.00,3.70,0.43,-0.35,1.00,3.00,0.00,1,4,0
4.00,6.00,36.00,3.20,-0.20,0.28,1.00,4.00,1.00,1,4,1
2.00,3.00,40.00,2.50,-0.78,-0.78,1.00,1.00,1.00,0,4,1
5.00,7.00,33.00,3.20,-0.15,0.33,1.00,4.00,1.00,1,4,1
7.00,6.00,40.00,1.70,0.52,0.11,1.00,4.00,1.00,1,1,1
6.00,6.00,35.00,2.70,0.12,0.10,1.00,3.00,0.00,1,2,1
10.00,10.00,29.00,3.30,1.48,1.40,1.00,4.00,0.00,1,3,1
3.00,5.00,42.00,3.40,-0.52,-0.03,1.00,4.00,1.00,1,5,1
3.00,2.00,40.00,3.40,-0.76,-0.95,1.00,4.00,1.00,1,6,0
9.00,9.00,38.00,2.90,0.99,0.98,1.00,3.00,1.00,1,3,1
6.00,7.00,45.00,3.20,0.19,0.34,1.00,4.00,1.00,1,4,1
10.00,9.00,39.00,3.70,1.74,1.12,1.00,4.00,0.00,1,3,1
3.00,3.00,39.00,2.60,-0.55,-0.71,1.00,3.00,0.00,1,3,1
9.00,9.00,35.00,3.80,1.26,1.16,1.00,4.00,0.00,1,3,1
1.00,1.00,31.00,3.20,-1.18,-1.87,1.00,4.00,1.00,1,3,0
2.00,2.00,37.00,3.20,-0.89,-0.89,1.00,3.00,0.00,1,4,1
9.00,5.00,45.00,3.50,0.94,-0.08,1.00,3.00,1.00,1,5,1
1.00,1.00,19.00,3.00,-2.02,-2.31,1.00,1.00,0.00,0,3,0
1.00,1.00,40.00,3.10,-1.58,-2.05,1.00,4.00,1.00,1,3,1
5.00,2.00,41.00,3.40,-0.05,-1.18,1.00,3.00,1.00,1,3,1
3.00,3.00,26.50,2.80,-0.67,-0.69,2.00,2.00,1.00,1,5,1
5.00,6.00,41.00,3.80,0.04,0.25,1.00,4.00,0.00,1,6,1
2.00,4.00,40.00,3.80,-0.98,-0.46,1.00,3.00,0.00,1,4,1
1.00,1.00,29.00,3.10,-1.19,-1.39,1.00,3.00,0.00,0,2,1
8.00,7.00,41.00,3.40,0.85,0.52,1.00,4.00,0.00,1,6,1
7.00,6.00,33.00,3.90,0.46,0.07,1.00,4.00,0.00,1,3,1
4.00,3.00,31.00,3.50,-0.37,-0.75,1.00,4.00,1.00,1,3,1
9.00,10.00,38.00,3.00,1.10,1.44,1.00,4.00,0.00,1,4,1
8.00,8.00,44.00,3.30,0.67,0.76,1.00,3.00,1.00,1,6,1
5.00,5.00,37.00,3.30,-0.09,-0.04,1.00,3.00,0.00,1,4,1
10.00,10.00,47.00,3.80,1.98,1.65,1.00,4.00,1.00,1,4,1
5.00,5.00,26.00,2.60,-0.05,-0.32,2.00,3.00,0.00,1,2,1
9.00,8.00,35.50,3.90,1.03,0.64,1.00,3.00,1.00,1,4,1
10.00,10.00,41.00,3.40,1.90,1.85,1.00,4.00,1.00,1,4,1
2.00,2.00,43.00,2.50,-0.87,-1.01,1.00,3.00,0.00,1,4,1
1.00,3.00,39.00,3.70,-1.58,-0.88,1.00,3.00,0.00,1,3,1
4.00,7.00,46.00,3.30,-0.29,0.26,1.00,4.00,1.00,1,3,1
10.00,10.00,31.00,3.10,1.84,1.65,2.00,4.00,1.00,1,3,1
8.00,7.00,34.00,3.20,0.75,0.47,1.00,3.00,1.00,1,3,1
8.00,9.00,34.00,2.70,0.72,1.03,1.00,3.00,1.00,1,2,1
2.00,2.00,35.00,3.20,-0.90,-0.97,1.00,3.00,1.00,1,2,1
6.00,6.00,32.50,3.40,0.29,0.27,1.00,3.00,1.00,1,4,1
10.00,10.00,33.00,3.30,1.83,2.14,1.00,4.00,0.00,1,4,1
3.00,6.00,37.00,3.10,-0.44,-0.02,2.00,4.00,1.00,1,2,1
8.00,6.00,40.00,3.40,0.73,0.07,2.00,2.00,1.00,1,5,1
10.00,10.00,42.00,3.50,2.42,3.12,1.00,4.00,1.00,1,4,1
10.00,10.00,36.00,2.90,2.15,1.85,1.00,4.00,1.00,1,2,1
4.00,3.00,36.00,3.90,-0.24,-0.60,2.00,3.00,1.00,1,5,1
5.00,6.00,33.50,2.90,0.00,0.11,1.00,3.00,0.00,1,3,1
3.00,3.00,33.00,3.90,-0.48,-0.68,1.00,3.00,1.00,1,5,0
7.00,8.00,40.00,3.50,0.46,0.76,1.00,4.00,1.00,1,4,1
