REGRESSION,Column 2,Column 3,Column 4,Column 5,Column 6
0.0002,-0.0071,0.0004,0.012,0.001,-7.0E-05
0.0001,-0.0052,0.0006,0.011,-0.013,0.00018
-0.0001,0.0065,0.0005,0.009,-0.008,0.00016
-0.0001,0.008,0.0029,0.011,0.005,3.0E-05
0.0002,-0.0077,0,0.015,0.007,-8.0E-05
0.0006,-0.0112,0.0004,0.02,-0.009,-0.00011
-0.0001,0.0065,0.0011,0.013,-0.006,0
-0.0003,0.0045,0.0004,0.012,0.01,-9.0E-05
0.0005,-0.0048,0.0003,0.016,0.011,-0.00028
-0.0002,0.0043,-0.0005,0.013,-0.003,3.0E-05
0.0001,-0.0037,0.0016,0.015,0,-0.00011
0.0002,-0.0036,0.0016,0.016,-0.01,3.0E-05
-0.0002,0.0051,0.0018,0.01,-0.005,0.0001
-0.0001,0.0021,0.0033,0.019,0.01,-0.00014
0.0004,-0.0054,-0.0003,0.017,0.005,-0.00023
0.0002,-0.0012,0.0001,0.014,-0.01,0.0002
-0.0002,0.0047,-0.0009,0.01,-0.006,0.00027
-0.0001,0.0084,0.0014,0.011,0.018,3.0E-05
-0.0001,0.0071,-0.0002,0.013,0.033,-9.0E-05
-0.0001,0.0021,0,0.011,0.046,-0.0002
0.0002,-0.0056,0.0004,0.011,0.041,-0.00026
-0.0001,-0.0009,0.0004,0.007,-0.009,0.00018
-0.0001,0.0045,0.0022,0.01,-0.004,0.0002
-0.0001,0.0063,0.0017,0.013,0.012,1.0E-05
-0.0001,0.0042,0.0009,0.015,0.031,-8.0E-05
0.0001,-0.0068,-0.0005,0.011,0.015,-6.0E-05
0.0001,0,-0.0004,0.002,-0.009,0.00012
-0.0002,0.0027,0.0022,0.005,-0.007,0.00013
0.0001,-0.0042,0.0035,0.016,-0.007,-0.00017
0.0001,0.0052,-0.0016,0.002,-0.009,5.0E-05
-0.0002,0.0069,0.0023,0.005,0.005,6.0E-05
-0.0001,0.0052,0.0025,0.01,0.024,-0.0001
0.0001,-0.0049,0.0007,0.016,0.017,-6.0E-05
0.0001,-0.0043,0.0006,0.01,-0.002,-6.0E-05
-0.0001,0.0035,0.0017,0.011,0.012,-5.0E-05
-0.0002,0.0035,-0.0002,0.012,-0.009,0.00017
0.0001,-0.0039,0.0015,0.008,-0.011,0
-0.0001,0.0059,0.0004,0.009,0.015,-2.0E-05
-0.0001,-0.0036,0.0007,0.01,0.021,-0.00016
0.0003,-0.0066,-0.0005,0.008,0.012,-0.00015
0.0001,-0.0018,0.0008,0.002,-0.01,0.00014
-0.0002,0.0047,0.0021,0.006,-0.006,0.00022
0.0003,-0.0049,-0.0011,0.009,0.022,-0.00014
-0.0002,0.0023,-0.0008,0.001,0.011,0.00015
0.0001,-0.0056,0.0017,0.016,0.004,-4.0E-05
0.0001,-0.0042,-0.0002,0.013,-0.013,7.0E-05
-0.0001,0.007,-0.0006,0.007,-0.005,0.00013
-0.0001,0.0057,0.0016,0.009,0.017,-9.0E-05
0.0001,-0.0075,-0.0001,0.01,-0.013,4.0E-05
0.0001,-0.0042,0.0007,0.009,-0.03,0.00018
0.0001,0.0071,0.0018,0.007,-0.022,0.00018
-0.0002,0.0104,0.0043,0.014,-0.003,0.00011
-0.0001,0.0057,0.0009,0.02,0.025,-0.00022
0.0002,-0.0059,0.0057,0.005,0.005,-0.00015
0.0001,0.0046,0.0001,0.016,-0.013,0.00029
-0.0002,0.0088,-0.0025,0.013,-0.004,0.00031
-0.0002,0.0101,-0.0013,0.009,0.016,-4.0E-05
0.0001,0.0004,-0.0008,0.004,0.037,-0.00034
0.0002,-0.0048,0.0008,0.005,0.029,-0.00013
0.0001,-0.0048,0.0051,0.01,0.021,-0.0002
0.0002,-0.0066,-0.0005,0.01,0.007,-3.0E-05
-0.0002,0.0039,0.0021,0.01,-0.007,0.00014
0.0002,-0.0022,0.0031,0.006,-0.011,-4.0E-05
-0.0001,0.0073,0.0026,0.007,0.006,3.0E-05
0.0003,-0.0075,-0.0016,0.007,0.014,-0.0002
-0.0003,0.0049,-0.0019,0.003,0.014,-9.0E-05
0.0002,-0.0084,0.0024,0.01,0.005,-0.00022
0.0002,-0.0088,-0.0003,0.008,-0.013,6.0E-05
-0.0002,0.0056,0.0035,0.012,-0.026,0.00031
0.0001,0.0044,0,0.017,0.012,-0.0001
0.0002,-0.0056,0.0026,0.002,0.008,-0.00012
-0.0002,0.0034,0.0016,0.012,-0.007,0.00015
0.0001,-0.0026,-0.0014,0.005,-0.011,3.0E-05
-0.0004,0.0055,0.0029,0.005,-0.002,0.00011
0.0003,-0.005,0.0006,0.016,0,-0.0002
-0.0002,0.0038,0.0014,0.006,-0.007,0.0001
-0.0003,0.0035,-0.0002,0,0.01,6.0E-05
0.0001,-0.0098,-0.0003,0.01,-0.013,-0.00011
0.0003,-0.0082,0,0.009,-0.03,0.00021
-0.0001,0.0112,0.0014,0.016,-0.002,8.0E-05
-0.0002,0.0089,-0.0033,0.013,0.034,-0.00019
-0.0002,0.0023,-0.0015,0.009,0.046,-0.00036
0.0004,-0.0075,-0.0011,0.006,0.041,-0.00051
-0.0003,0.0062,-0.0013,0.016,0.013,0.00012
0.0003,-0.0067,-0.0015,0.011,0.018,-0.00022
-0.0004,0.0064,-0.0012,0,0.013,9.0E-05
0.0002,-0.0089,0.0049,0.012,0.009,-0.00025
-0.0001,0.007,-0.0006,0.012,-0.014,0.00032
-0.0001,0.0101,-0.0005,0.011,0,0.00014
-0.0003,0.0105,-0.0002,0.009,0.023,-3.0E-05
-0.0003,0.0011,-0.0013,0.003,0.044,-0.00035
0.0004,-0.0072,-0.0009,0.002,0.04,-0.00058
-0.0002,0.0034,-0.0007,0.009,-0.007,3.0E-05
0.0001,-0.0038,0.0039,0.013,-0.006,-0.00016
-0.0001,0.0068,-0.0011,0.011,-0.009,0.00016
-0.0003,0.0066,-0.0009,0.007,0.012,-5.0E-05
0.0002,-0.0072,-0.0025,0.007,0.006,-0.00011
0.0001,-0.0037,-0.0005,0.003,-0.011,0.00021
-0.0004,0.0064,0.0007,0.002,-0.006,0.00022
0.0004,-0.0067,-0.0002,0.008,0.004,-0.00039
-0.0001,0.0029,-0.0009,-0.001,-0.008,0.00028
-0.0002,0.007,0.004,0.006,0.003,0.00016
0.0003,-0.0045,0.0025,0.019,0.018,-0.00022
0.0001,-0.0031,0.0015,0.011,-0.012,0
-0.0001,0.0044,0.0003,0.009,0.015,-6.0E-05
0.0002,-0.0076,0.0007,0.009,-0.014,-1.0E-05
-0.0002,0.0049,0.0011,0.01,-0.024,0.00021
0.0001,0.0005,-0.0017,0.003,-0.009,0.00015
-0.0002,0.0039,0.002,0.005,-0.005,0.00018
-0.0002,0.0034,0,0.009,0.01,-4.0E-05
0.0002,-0.0057,0.0008,0.01,0.005,-0.00015
0.0002,-0.0051,0.0014,0.012,-0.013,7.0E-05
-0.0001,0.0045,-0.001,0.008,-0.013,4.0E-05
0.0001,-0.0005,0.0028,0.015,-0.01,3.0E-05
-0.0001,0.0038,0.0013,0.017,-0.006,0.00015
0.0001,0.0049,0.0016,0.019,0.004,2.0E-05
-0.0001,0.0053,-0.0011,0.016,0.013,1.0E-05
-0.0001,0.0036,-0.0028,0.009,0.027,-7.0E-05
-0.0001,-0.0011,-0.0018,0.003,0.031,-0.00023
0.0002,-0.0111,0.0012,0.002,-0.017,-4.0E-05
0.0001,-0.0096,0.002,0.004,-0.034,0.00017
0.0001,-0.0048,0.0018,0.006,-0.047,0.00028
-0.0002,0.0093,0.0014,0.007,-0.038,0.0003
-0.0001,0.0055,0.0001,0.021,-0.02,0.00021
-0.0003,0.0088,-0.0002,0.017,0.012,-1.0E-05
0.0003,-0.0075,0.0026,0.014,0.019,-0.00015
0.0001,-0.0042,0.0017,0.018,-0.01,0.00012
0.0003,0.0002,0.0008,0.02,-0.009,-7.0E-05
0.0001,-0.0011,0.0004,0.009,-0.01,1.0E-05
0.0001,-0.002,0.0016,0.022,-0.016,6.0E-05
0.0001,-0.0005,0.0013,0.012,-0.01,-1.0E-05
-0.0001,0.0019,0.0007,0.013,0.011,-4.0E-05
0.0003,-0.0037,0.0002,0.012,0.007,-0.00011
-0.0002,0.0055,0,0.009,0.014,7.0E-05
0.0001,-0.0038,-0.0001,0.011,0.024,-0.00017
0.0001,-0.006,0.0023,0.007,-0.011,5.0E-05
-0.0001,0.0055,0.002,0.019,-0.013,0.00014
0.0001,-0.0037,0.0032,0.015,0.017,-9.0E-05
-0.0002,0.0054,0.0011,0.019,0.024,0
0.0001,-0.0038,-0.0001,0.016,0.032,-0.00029
0.0002,-0.0102,-0.0009,0.012,0.011,-0.00016
0.0001,-0.0094,-0.0003,0.013,-0.01,0.00021
-0.0001,0.0076,0.002,0.004,-0.007,9.0E-05
-0.0001,0.007,0.0019,0.006,0.01,-7.0E-05
0.0002,-0.0043,-0.0006,0.009,0.018,-0.00012
-0.0001,0.0004,0.0034,0.019,0.01,-5.0E-05
-0.0001,0.0041,-0.0037,-0.001,0.01,0.00017
-0.0002,0.0057,0.0032,-0.003,0.016,0.0001
-0.0001,0.003,0.0037,0.007,0.031,-0.00014
0.0001,-0.0039,-0.0003,0.012,0.023,-5.0E-05
0.0002,-0.0033,-0.0006,0.002,-0.011,1.0E-05
-0.0001,0.0045,0.0031,0.007,-0.007,8.0E-05
-0.0001,0.0028,-0.0018,0.017,0.011,1.0E-05
0.0002,-0.0037,-0.0006,0.007,0.005,-4.0E-05
-0.0001,0.0022,0,0.012,0.01,1.0E-05
0.0001,-0.0005,0.0008,0.012,-0.01,8.0E-05
-0.0002,0.0028,0.0001,0.01,-0.007,0.00012
0.0002,-0.0044,0.0002,0.012,-0.011,1.0E-05
0.0001,-0.0034,0.0014,0.013,0.008,-7.0E-05
-0.0002,0.0055,0.0011,0.008,-0.002,8.0E-05
0.0003,-0.004,-0.0015,0.011,0.007,-9.0E-05
-0.0002,0.0065,0.0017,0.006,0.013,0.00015
0.0002,-0.0089,0.0026,0.015,0.005,-9.0E-05
0.0002,-0.0051,-0.002,0.011,-0.013,0.00024
-0.0001,0.0061,-0.0026,-0.002,-0.012,0.00029
-0.0001,0.0104,0.0009,-0.001,0.013,3.0E-05
-0.0001,0.004,0.0024,0.005,0.046,-0.00019
-0.0002,0,-0.0017,0.01,0.032,-3.0E-05
0.0001,-0.0037,0.0025,0.014,0.028,-0.00015
0.0001,-0.0035,0.0004,0.014,0.026,-0.00012
0.0002,-0.0078,0,0.004,-0.012,-8.0E-05
0.0002,-0.0047,0.0015,0.005,-0.031,0.00017
-0.0003,0.0075,0.0021,0.011,-0.025,0.00022
0.0004,-0.0085,-0.0015,0.007,-0.009,-0.00019
-0.0002,0.0057,0.0022,0.006,-0.025,0.00023
-0.0002,0.0076,0.0024,0.011,-0.004,1.0E-05
0.0001,-0.0074,0.0002,0.009,0.003,-0.00026
0.0001,-0.01,0.0021,0.011,-0.015,-7.0E-05
0.0003,-0.009,0.0018,0.013,-0.032,0.0001
-0.0003,0.0077,-0.0002,0.008,-0.041,0.00043
-0.0002,0.0119,0.0004,0.007,-0.006,-1.0E-05
-0.0004,0.0077,0.0034,0.012,0.013,-0.00029
-0.0002,0.0006,-0.0019,0.014,0.01,0.00021
0.0001,-0.0041,0.0009,0.001,0.005,-0.00011
0.0001,-0.002,0.0025,0.007,-0.013,9.0E-05
-0.0001,0.0085,-0.0008,0.006,0.016,6.0E-05
-0.0001,0.0063,0.0016,0.007,0.033,-0.00015
0.0002,-0.0093,-0.0002,0.009,0.014,-9.0E-05
0.0001,-0.0053,0.0002,0.006,-0.012,0.00022
-0.0002,0.0059,-0.0002,0.009,-0.011,0.00024
-0.0001,0.0069,0.0004,0.008,0.016,-3.0E-05
-0.0001,0.0037,0.0027,0.012,0.026,-0.00018
-0.0001,0.001,-0.0028,0.01,0.029,-0.00024
0.0002,-0.0076,-0.0016,0.005,0.021,-0.0003
0.0001,-0.0098,0.003,0.009,-0.002,-1.0E-05
0.0001,-0.0052,0.0016,0.011,-0.029,0.00017
-0.0001,0.0039,0.0004,0.009,-0.032,0.00024
-0.0001,0.0054,0.0006,0.008,0.011,-6.0E-05
0.0002,-0.0055,0,0.008,0.013,-0.00018
0.0002,-0.0022,0.0006,0.007,-0.013,0.00011
-0.0002,0.0052,0.0012,0.008,-0.008,0.00019
-0.0002,0.0047,0.0016,0.012,0.012,-7.0E-05
0.0003,-0.0039,-0.0009,0.009,0.014,-0.00018
-0.0003,0.0042,-0.0006,0.009,-0.008,0.00017
0.0002,-0.0054,0.0013,0.012,-0.007,-0.00019
-0.0001,0.0085,-0.0018,0.008,-0.005,0.00018
-0.0003,0.0092,-0.0007,0.006,0.012,-3.0E-05
0.0001,0.0019,0.0021,0.008,0.03,-0.00029
0.0003,-0.0063,-0.0023,0.009,0.023,-0.00019
0.0002,-0.0088,0.0044,0.011,0.004,-0.00017
-0.0002,0.0075,-0.001,0.013,-0.024,0.00041
-0.0001,0.01,-0.0003,0.01,0.002,-1.0E-05
-0.0001,0.0079,0.0039,0.013,0.021,-0.00025
0.0002,-0.0048,-0.0009,0.014,0.025,-0.00015
-0.0002,0.0041,-0.0024,-0.003,0.016,0.0001
-0.0002,0.0017,0.0036,0.001,0.035,-0.0001
0.0001,-0.0036,0.0054,0.012,0.033,-0.00025
-0.0003,0.0063,-0.0018,0.01,-0.012,0.00033
0.0002,-0.0021,0.0001,0.008,-0.01,0
-0.0002,0.0042,0.0028,0.01,-0.007,0.00014
-0.0002,0.0004,-0.0011,0.013,0.009,-1.0E-05
0.0002,-0.0071,0.0004,0.004,-0.016,-7.0E-05
0.0001,-0.0055,0.0032,0.007,-0.032,0.00012
0.0001,0.006,0.0017,0.014,-0.032,0.00022
-0.0003,0.0105,-0.002,0.011,-0.016,0.0002
0.0002,-0.0057,0.0018,0.001,0.01,-0.0003
-0.0001,0.0047,-0.0009,0.004,-0.005,2.0E-05
-0.0002,0.0002,0.0021,0.01,0.01,-0.0001
0.0004,-0.0048,0.0011,0.011,0.006,-0.00029
0.0002,-0.0016,0.0012,0.014,-0.01,-1.0E-05
-0.0004,0.0053,-0.0007,0.011,-0.007,0.00027
0.0001,0.0039,0.001,0.012,0.012,-0.00011
0.0002,-0.0072,0.0027,0.007,0.005,-0.00017
-0.0003,0.0055,-0.0011,0.011,-0.03,0.00024
-0.0001,0.0012,0,0.008,0.011,-3.0E-05
0.0001,-0.004,0.0003,0.007,0.005,-0.0001
-0.0003,0.0046,-0.0003,0.006,-0.007,0.0002
-0.0001,0.003,0.0002,0.004,0.011,-9.0E-05
0.0003,-0.0048,0.0035,0.014,0.009,-0.0002
-0.0002,0.0056,0.0025,0.008,0.011,3.0E-05
0.0001,-0.0042,0.0002,0.01,0.016,-8.0E-05
0.0002,-0.003,0.0035,0.009,-0.01,-3.0E-05
-0.0003,0.0049,-0.0001,0.013,-0.007,0.00011
-0.0002,0.0026,0.002,0.006,-0.007,0.00011
0.0001,-0.0024,0.0022,0.005,-0.012,-1.0E-05
0.0001,-0.0036,0.0017,0.011,-0.032,0.00011
-0.0001,0.0078,-0.0015,0.009,-0.003,2.0E-05
-0.0001,0.0057,-0.0011,0.006,0.012,-0.00012
-0.0001,0.0047,0.0009,0.009,-0.023,2.0E-05
-0.0001,0.0032,0.0011,0.012,-0.007,-6.0E-05
0.0002,-0.0048,0.0015,0.018,-0.012,-0.0001
-0.0001,0.0064,0,0.015,-0.005,6.0E-05
-0.0001,0.0063,-0.002,0.01,0.016,-4.0E-05
0.0001,-0.007,-0.001,0.008,0.013,-8.0E-05
-0.0001,0.0035,0.001,0.006,-0.002,6.0E-05
-0.0001,0.0022,0.0012,0.01,0.011,-6.0E-05
0.0002,-0.004,-0.0002,0.014,0.005,-8.0E-05
-0.0001,0.0029,0.0018,0.007,-0.006,7.0E-05
0.0001,-0.0022,-0.0006,0.01,-0.013,2.0E-05
-0.0002,0.0045,0.0004,0.002,-0.005,6.0E-05
0.0001,-0.0021,0.0004,0.008,-0.01,4.0E-05
-0.0001,0.0033,0.0022,0.014,-0.006,7.0E-05
0.0001,-0.0041,-0.0004,0.012,-0.015,-1.0E-05
0.0001,-0.0029,-0.0006,0.01,-0.022,9.0E-05
-0.0001,0.0066,0.0011,0.002,-0.002,4.0E-05
0.0002,-0.007,0.0002,0.016,0.005,-7.0E-05
-0.0001,0.0069,0.0008,0.001,0,6.0E-05
-0.0002,0.0052,0.0004,0.002,0.019,-0.0001
0.0001,-0.0103,0.002,0.012,0.003,-0.00019
-0.0001,0.0076,0.0002,0.011,-0.036,0.00018
-0.0001,0.0088,0.0004,0.011,-0.02,1.0E-05
-0.0002,0.0008,-0.0006,0.01,0.01,0
-0.0001,0.0042,-0.0009,-0.002,0.01,5.0E-05
0.0002,-0.0069,0.0031,0.011,0.008,-0.00019
0.0001,-0.0053,0.0005,0.017,-0.028,0.00012
-0.0001,0.0067,-0.0007,0.01,-0.023,0.00015
0.0001,-0.003,-0.0004,0.006,-0.01,5.0E-05
-0.0001,0.0041,0.0014,0.01,-0.005,6.0E-05
-0.0001,0.0023,-0.0001,0.015,0.01,-8.0E-05
0.0001,-0.005,0.0029,0.02,0.011,-0.00011
0.0001,-0.0057,-0.0027,0.02,0.003,-2.0E-05
-0.0001,-0.0001,-0.0035,0.006,-0.01,0.00018
-0.0001,0.0058,0.0004,0.005,0.011,0
-0.0002,0.0012,0.0006,0.008,0.03,-0.00011
0.0001,-0.004,0.0011,0.01,0.028,-0.00026
0.0001,-0.0071,0.001,0.011,0.019,-0.00016
-0.0001,0.0026,0.0006,0.014,0.011,-5.0E-05
-0.0001,0.0039,0.0016,0.004,-0.007,0.00013
0.0001,-0.0035,-0.001,0.008,-0.015,-1.0E-05
0.0001,-0.0025,-0.0011,0.006,-0.02,8.0E-05
0.0001,0.0047,0.0007,0.008,-0.005,3.0E-05
-0.0001,0.0054,0.0006,0.009,0.005,2.0E-05
0.0001,0.005,0.0007,0.01,0.015,-4.0E-05
0.0001,-0.0052,-0.0011,0.005,0.003,-2.0E-05
-0.0002,0.0048,0.0014,0.003,-0.005,0.00015
-0.0002,0.0056,0.0014,0.002,0.014,-1.0E-05
0.0001,-0.0082,0.0012,0.011,0.002,-9.0E-05
0.0001,-0.008,0.0003,0.011,-0.011,4.0E-05
0.0003,-0.0043,0.0096,0.014,-0.01,0.00034
0.0006,-0.0041,0.0042,0.007,-0.01,-0.00013
-0.0008,0.0058,0.0064,0.021,-0.008,0.00012
0.001,-0.0076,-0.0019,0.031,-0.012,-0.00015
0.0001,0.0037,-0.001,0.018,-0.025,0.00035
-0.0001,0.0096,-0.0008,0.012,-0.013,0.00028
-0.0009,0.0122,0.0066,0.017,0.003,0.00012
-0.0002,0.0075,0.0042,0.023,0.025,-0.00054
0.0016,-0.0092,-0.0021,0.021,0.023,-0.00083
-0.0006,0.0067,0.0022,0.017,-0.023,0.00034
0.0001,0.0007,0.0017,0.02,0.009,-0.00022
-0.0004,0.0039,0.002,0.018,0.008,0.00014
0.0007,-0.0063,0.0024,0.019,0.007,-0.00028
-0.0001,0.0039,0.0021,0.019,-0.01,0.00027
-0.0005,0.0066,0.0038,0.02,-0.002,7.0E-05
0.0013,-0.0116,0.0009,0.02,-0.011,-0.00041
-0.0008,0.0118,0.004,0.009,-0.026,0.00044
-0.0001,0.0075,0.0036,0.014,0.013,-0.0004
0.0001,-0.0095,0.0041,0.023,0.004,-0.00027
-0.0005,0.0103,0.0001,0.02,-0.023,0.00052
-0.0006,0.0133,0.0024,0.022,-0.001,0
0.0001,-0.0079,-0.0005,0.006,0.013,-0.00031
0.0001,0.0036,0.0053,0.021,-0.03,0.00035
-0.0002,0.0103,-0.0012,0.017,-0.016,0.00029
-0.0001,0.0124,-0.0006,0.013,0.003,5.0E-05
-0.0001,0.01,-0.0001,0.01,0.019,-0.00022
0.0001,0.0039,0.0009,0.01,0.031,-0.00036
0.0004,-0.0038,0.0018,0.01,0.006,-6.0E-05
0.0008,-0.0146,0.0009,0.014,-0.008,-0.00022
0.0002,-0.0076,0.0022,0.012,-0.036,0.00055
-0.0009,0.0122,0.0027,0.009,-0.028,0.00053
-0.0004,0.0106,0.005,0.017,0.013,-0.00039
0.0001,-0.0044,0.0012,0.019,0.018,-0.00013
-0.0003,-0.0053,-0.0019,0.015,0.008,-1.0E-05
0.0004,-0.0072,-0.0008,0.012,-0.001,-0.00017
-0.0005,0.0064,0.0013,0.003,-0.005,0.0004
-0.0002,0.0068,0.0042,0.01,0.019,-0.00011
0.0001,-0.0044,0.0013,0.018,0.025,-0.00025
0.0001,-0.0078,-0.0016,0.013,0.016,-0.00022
-0.0007,0.005,0.0016,0.015,-0.007,0.00022
0.0004,-0.005,0.0011,0.018,-0.002,-0.00032
0.0002,-0.0049,0.0013,0.017,-0.013,0.00012
-0.0009,0.0097,-0.0014,0.008,-0.005,0.00033
0.0005,-0.0085,0.0036,0.01,-0.011,-3.0E-05
-0.0005,0.0111,-0.0022,0.011,-0.003,0.00021
-0.0001,0.0064,0.0008,0.009,0.019,-0.00039
0.0001,-0.0051,0.0026,0.012,0.021,-0.00045
0.0001,-0.0101,0.0027,0.014,0.01,-0.0003
0.0008,-0.0044,-0.0008,0.015,0.007,-0.00031
-0.0001,0.0075,0.0045,0.006,0.008,0.00022
-0.0002,0.0018,0.0028,0.012,0.028,-0.00022
-0.0001,-0.0041,0.003,0.016,0.026,-0.00034
-0.0003,0.003,-0.0005,0.008,-0.005,0.00021
0.0002,-0.0031,0.0024,0.012,-0.014,0
-0.0007,0.0065,0.0009,0.01,-0.008,0.00019
0.0001,-0.0063,0.0023,0.012,-0.002,-0.00049
0.0003,-0.012,-0.0036,0.014,-0.021,-9.0E-05
0.0001,-0.0081,-0.0024,0.009,-0.041,0.0004
-0.0004,0.0076,0,-0.001,-0.042,0.0004
-0.0004,0.0065,0.0034,0.01,-0.005,9.0E-05
0.0006,-0.012,0.0036,0.021,-0.015,-0.00033
-0.0002,0.0084,-0.0011,0.014,-0.038,0.00039
0.0001,-0.0033,0.0019,0.005,-0.012,4.0E-05
-0.0003,0.0042,0.002,0.012,-0.007,6.0E-05
